codgeo,ze2020,economic_sphere,unit_loc_2024
01051,8425,PRESENTIAL,1
01045,8405,PRESENTIAL,4
01219,8405,PRESENTIAL,3
01307,8425,PRESENTIAL,22
01313,8416,PRODUCTIVE,25
01295,8434,PRESENTIAL,9
01004,8405,PRESENTIAL,468
01013,8405,PRODUCTIVE,1
01142,8421,PRODUCTIVE,101
01128,8405,PRODUCTIVE,3
01143,8416,PRESENTIAL,202
01238,8434,PRESENTIAL,45
01232,8405,PRODUCTIVE,16
01180,8416,PRESENTIAL,17
01177,8405,PRODUCTIVE,1
01181,8425,PRESENTIAL,15
01210,8416,PRESENTIAL,27
01199,8405,PRODUCTIVE,11
01025,0059,PRESENTIAL,33
01034,8404,PRODUCTIVE,95
01110,8404,PRESENTIAL,1
01267,8425,PRODUCTIVE,17
01263,8434,PRESENTIAL,72
01010,8416,PRODUCTIVE,7
01066,8404,PRODUCTIVE,2
01184,8405,PRODUCTIVE,7
01180,8416,PRODUCTIVE,4
01031,8425,PRESENTIAL,77
01028,8434,PRODUCTIVE,5
01281,8416,PRESENTIAL,56
01095,8405,PRESENTIAL,8
01107,8405,PRODUCTIVE,1
01022,8404,PRESENTIAL,36
01002,8405,PRODUCTIVE,2
01082,8416,PRODUCTIVE,3
01121,8404,PRESENTIAL,1
01136,0059,PRODUCTIVE,4
01189,8416,PRODUCTIVE,8
01202,8405,PRESENTIAL,151
01249,8421,PRODUCTIVE,177
01159,0059,PRODUCTIVE,52
01043,8421,PRODUCTIVE,131
01116,8404,PRODUCTIVE,2
01268,8404,PRODUCTIVE,2
01259,8405,PRESENTIAL,10
01318,8434,PRESENTIAL,12
01290,8405,PRESENTIAL,32
01080,8404,PRESENTIAL,7
01081,8416,PRESENTIAL,12
01061,8404,PRODUCTIVE,5
01229,8405,PRESENTIAL,21
01234,8404,PRODUCTIVE,1
01238,8434,PRODUCTIVE,23
01240,8425,PRODUCTIVE,2
01102,0059,PRESENTIAL,10
01100,8404,PRODUCTIVE,1
01087,8425,PRESENTIAL,3
01145,8405,PRESENTIAL,17
01189,8416,PRESENTIAL,9
01041,8405,PRODUCTIVE,2
01310,8404,PRODUCTIVE,2
01299,8405,PRODUCTIVE,12
01297,8421,PRODUCTIVE,9
01010,8416,PRESENTIAL,17
01001,8405,PRODUCTIVE,10
01085,8405,PRESENTIAL,7
01073,8404,PRESENTIAL,19
01252,8434,PRESENTIAL,12
01240,8425,PRESENTIAL,15
01250,8434,PRESENTIAL,18
01140,8405,PRODUCTIVE,11
01037,8404,PRESENTIAL,5
01286,8404,PRESENTIAL,7
01006,8404,PRODUCTIVE,0
01317,8405,PRODUCTIVE,0
01192,8425,PRESENTIAL,33
01202,8405,PRODUCTIVE,50
01216,8404,PRODUCTIVE,6
01078,8416,PRESENTIAL,9
01146,8405,PRESENTIAL,2
01117,8404,PRESENTIAL,1
01311,8404,PRODUCTIVE,0
01288,8416,PRODUCTIVE,9
01034,8404,PRESENTIAL,310
01054,8405,PRESENTIAL,14
01045,8405,PRODUCTIVE,2
01111,8405,PRODUCTIVE,0
01195,8405,PRESENTIAL,31
01179,0059,PRODUCTIVE,10
01160,8416,PRESENTIAL,280
01165,8434,PRESENTIAL,14
01069,8405,PRODUCTIVE,32
01127,8405,PRESENTIAL,5
01246,8405,PRESENTIAL,32
01231,0059,PRODUCTIVE,24
01298,8416,PRESENTIAL,1
01291,0059,PRESENTIAL,12
01106,8405,PRESENTIAL,1
01103,8416,PRESENTIAL,11
01208,8404,PRODUCTIVE,0
01197,8405,PRESENTIAL,5
01198,8405,PRESENTIAL,3
01158,8416,PRODUCTIVE,1
01165,8434,PRODUCTIVE,9
01139,8405,PRESENTIAL,7
01314,8405,PRODUCTIVE,14
01036,8404,PRODUCTIVE,7
01011,8425,PRESENTIAL,3
01014,8425,PRODUCTIVE,111
01009,8404,PRODUCTIVE,2
01211,8405,PRESENTIAL,22
01211,8405,PRODUCTIVE,13
01113,8405,PRODUCTIVE,14
01111,8405,PRESENTIAL,1
01183,8434,PRESENTIAL,36
01291,0059,PRODUCTIVE,9
01275,8421,PRESENTIAL,55
01125,8405,PRODUCTIVE,10
01072,8405,PRESENTIAL,85
01001,8405,PRESENTIAL,9
01044,8416,PRODUCTIVE,5
01046,0059,PRESENTIAL,13
01198,8405,PRODUCTIVE,6
01252,8434,PRODUCTIVE,7
01235,8405,PRODUCTIVE,14
01108,8405,PRESENTIAL,24
01105,8434,PRESENTIAL,48
01294,8404,PRESENTIAL,10
01159,0059,PRESENTIAL,75
01285,8434,PRODUCTIVE,8
01265,8425,PRESENTIAL,92
01282,8425,PRESENTIAL,4
01076,8404,PRESENTIAL,2
01016,0059,PRESENTIAL,4
01050,0059,PRESENTIAL,5
01043,8421,PRESENTIAL,213
01108,8405,PRODUCTIVE,9
01313,8416,PRESENTIAL,73
01299,8405,PRESENTIAL,11
01293,8425,PRESENTIAL,2
01262,8421,PRESENTIAL,142
01024,8405,PRODUCTIVE,34
01023,0059,PRESENTIAL,2
01081,8416,PRODUCTIVE,3
01080,8404,PRODUCTIVE,7
01138,8404,PRODUCTIVE,23
01117,8404,PRODUCTIVE,0
01212,8405,PRODUCTIVE,11
01203,0059,PRODUCTIVE,13
01200,8405,PRODUCTIVE,1
01245,8405,PRODUCTIVE,7
01243,8434,PRODUCTIVE,16
01115,8405,PRESENTIAL,22
01096,8405,PRESENTIAL,14
01095,8405,PRODUCTIVE,6
01301,8405,PRESENTIAL,70
01296,8405,PRESENTIAL,4
01158,8416,PRESENTIAL,10
01177,8405,PRESENTIAL,1
01197,8405,PRODUCTIVE,2
01219,8405,PRODUCTIVE,3
01280,8404,PRESENTIAL,2
01260,8421,PRESENTIAL,4
01283,8425,PRESENTIAL,543
01276,8421,PRESENTIAL,16
01266,8405,PRESENTIAL,91
01273,8405,PRODUCTIVE,10
01129,8405,PRODUCTIVE,2
01149,8405,PRODUCTIVE,1
01090,8405,PRESENTIAL,12
01169,8434,PRESENTIAL,10
01174,8416,PRODUCTIVE,2
01084,8405,PRODUCTIVE,5
01062,8421,PRESENTIAL,10
01072,8405,PRODUCTIVE,53
01274,8425,PRESENTIAL,8
01193,8404,PRESENTIAL,4
01149,8405,PRESENTIAL,5
01005,8434,PRESENTIAL,37
01236,8405,PRODUCTIVE,6
01243,8434,PRESENTIAL,16
01049,8421,PRESENTIAL,58
01115,8405,PRODUCTIVE,18
01301,8405,PRODUCTIVE,22
01152,8425,PRODUCTIVE,4
01160,8416,PRODUCTIVE,66
01277,8404,PRESENTIAL,2
01079,8404,PRODUCTIVE,13
01134,0059,PRESENTIAL,24
01124,8405,PRESENTIAL,8
01142,8421,PRESENTIAL,102
01094,0059,PRESENTIAL,6
01089,8405,PRESENTIAL,54
01206,8425,PRESENTIAL,3
01024,8405,PRESENTIAL,49
01227,8404,PRESENTIAL,5
01302,8404,PRODUCTIVE,0
01297,8421,PRESENTIAL,13
01173,8416,PRESENTIAL,173
01282,8425,PRODUCTIVE,4
01204,8425,PRESENTIAL,12
01209,8416,PRESENTIAL,4
01216,8404,PRESENTIAL,11
01104,8416,PRESENTIAL,14
01101,8425,PRODUCTIVE,0
01094,0059,PRODUCTIVE,6
01033,8416,PRESENTIAL,415
01031,8425,PRODUCTIVE,109
01148,8425,PRESENTIAL,26
01141,8404,PRESENTIAL,5
01150,8405,PRODUCTIVE,7
01236,8405,PRESENTIAL,10
01309,8405,PRESENTIAL,2
01153,8416,PRODUCTIVE,6
01065,8405,PRESENTIAL,20
01269,8425,PRESENTIAL,85
01276,8421,PRODUCTIVE,11
01207,8405,PRESENTIAL,7
01196,8405,PRODUCTIVE,14
01195,8405,PRODUCTIVE,21
01254,8405,PRESENTIAL,64
01147,8405,PRESENTIAL,8
01093,8405,PRESENTIAL,177
01092,8405,PRESENTIAL,19
01109,8416,PRESENTIAL,34
01098,8404,PRODUCTIVE,21
01052,8405,PRODUCTIVE,7
01037,8404,PRODUCTIVE,1
01007,8405,PRODUCTIVE,29
01009,8404,PRESENTIAL,3
01304,8405,PRODUCTIVE,43
01083,8434,PRESENTIAL,22
01085,8405,PRODUCTIVE,7
01071,8416,PRODUCTIVE,16
01156,8421,PRODUCTIVE,2
01262,8421,PRODUCTIVE,72
01268,8404,PRESENTIAL,7
01267,8425,PRESENTIAL,18
01228,8425,PRESENTIAL,20
01106,8405,PRODUCTIVE,1
01308,8416,PRODUCTIVE,2
01015,8404,PRODUCTIVE,6
01012,8404,PRESENTIAL,5
01163,8405,PRESENTIAL,24
01089,8405,PRODUCTIVE,61
01017,8405,PRESENTIAL,6
01304,8405,PRESENTIAL,81
01162,8404,PRESENTIAL,2
01194,8434,PRODUCTIVE,68
01230,8405,PRODUCTIVE,7
01071,8416,PRESENTIAL,76
01150,8405,PRESENTIAL,4
01118,8416,PRESENTIAL,17
01136,0059,PRESENTIAL,6
01090,8405,PRODUCTIVE,6
01103,8416,PRODUCTIVE,4
01050,0059,PRODUCTIVE,1
01030,8434,PRESENTIAL,13
01305,0059,PRODUCTIVE,27
01155,8404,PRESENTIAL,3
01233,8404,PRODUCTIVE,1
01242,8405,PRESENTIAL,1
01239,8404,PRESENTIAL,11
01134,0059,PRODUCTIVE,19
01135,8416,PRESENTIAL,37
01148,8425,PRODUCTIVE,17
01140,8405,PRESENTIAL,9
01116,8404,PRESENTIAL,8
01104,8416,PRODUCTIVE,3
01281,8416,PRODUCTIVE,16
01084,8405,PRESENTIAL,10
01067,8425,PRODUCTIVE,2
01066,8404,PRESENTIAL,1
01302,8404,PRESENTIAL,2
01248,8421,PRODUCTIVE,25
01229,8405,PRODUCTIVE,10
01174,8416,PRESENTIAL,6
01179,0059,PRESENTIAL,30
01188,8434,PRESENTIAL,8
01054,8405,PRODUCTIVE,11
01013,8405,PRESENTIAL,1
01146,8405,PRODUCTIVE,3
01128,8405,PRESENTIAL,3
01110,8404,PRODUCTIVE,0
01098,8404,PRESENTIAL,32
01283,8425,PRODUCTIVE,290
01269,8425,PRODUCTIVE,28
01073,8404,PRODUCTIVE,2
01057,0059,PRODUCTIVE,8
01061,8404,PRESENTIAL,9
01309,8405,PRODUCTIVE,2
01314,8405,PRESENTIAL,29
01247,8416,PRODUCTIVE,1
01213,8405,PRODUCTIVE,17
01215,8416,PRODUCTIVE,0
01190,8404,PRESENTIAL,1
01022,8404,PRODUCTIVE,9
01035,8425,PRESENTIAL,3
01027,8421,PRESENTIAL,42
01053,8405,PRESENTIAL,1478
01101,8425,PRESENTIAL,1
01087,8425,PRODUCTIVE,2
01133,8404,PRESENTIAL,4
01130,8405,PRESENTIAL,28
01124,8405,PRODUCTIVE,8
01255,8405,PRESENTIAL,7
01266,8405,PRODUCTIVE,39
01303,8405,PRODUCTIVE,16
01306,0059,PRESENTIAL,42
01289,8405,PRESENTIAL,174
01290,8405,PRODUCTIVE,22
01040,8405,PRESENTIAL,5
01051,8425,PRODUCTIVE,0
01042,0059,PRESENTIAL,1
01141,8404,PRODUCTIVE,1
01064,8405,PRESENTIAL,19
01305,0059,PRESENTIAL,95
01099,8405,PRODUCTIVE,2
01088,8405,PRESENTIAL,18
01249,8421,PRESENTIAL,193
01214,8425,PRODUCTIVE,2
01014,8425,PRESENTIAL,134
01017,8405,PRODUCTIVE,8
01015,8404,PRESENTIAL,7
01075,8434,PRESENTIAL,33
01029,8405,PRODUCTIVE,6
01274,8425,PRODUCTIVE,7
01118,8416,PRODUCTIVE,12
01030,8434,PRODUCTIVE,4
01052,8405,PRESENTIAL,6
01012,8404,PRODUCTIVE,3
01204,8425,PRODUCTIVE,8
01224,8421,PRODUCTIVE,30
01257,8416,PRESENTIAL,5
01310,8404,PRESENTIAL,4
01319,8405,PRESENTIAL,7
01113,8405,PRESENTIAL,8
01187,8404,PRESENTIAL,23
01157,8434,PRESENTIAL,56
01038,8405,PRESENTIAL,7
01042,0059,PRODUCTIVE,3
01026,0059,PRESENTIAL,30
01214,8425,PRESENTIAL,2
01191,8425,PRODUCTIVE,5
01143,8416,PRODUCTIVE,46
01289,8405,PRODUCTIVE,75
01259,8405,PRODUCTIVE,7
01076,8404,PRODUCTIVE,0
01077,8405,PRESENTIAL,1
01049,8421,PRODUCTIVE,52
01028,8434,PRESENTIAL,9
01206,8425,PRODUCTIVE,1
01192,8425,PRODUCTIVE,58
01096,8405,PRODUCTIVE,11
01093,8405,PRODUCTIVE,84
01277,8404,PRODUCTIVE,1
01187,8404,PRODUCTIVE,18
01155,8404,PRODUCTIVE,3
01294,8404,PRODUCTIVE,9
01298,8416,PRODUCTIVE,0
01230,8405,PRESENTIAL,5
01041,8405,PRESENTIAL,7
01008,8405,PRESENTIAL,20
01215,8416,PRESENTIAL,2
01130,8405,PRODUCTIVE,17
01275,8421,PRODUCTIVE,69
01258,8434,PRODUCTIVE,13
01157,8434,PRODUCTIVE,71
01320,0059,PRODUCTIVE,48
01112,8425,PRESENTIAL,8
01088,8405,PRODUCTIVE,19
01058,8404,PRODUCTIVE,11
01032,8421,PRESENTIAL,58
01036,8404,PRESENTIAL,14
01025,0059,PRODUCTIVE,37
01029,8405,PRESENTIAL,9
01209,8416,PRODUCTIVE,1
01183,8434,PRODUCTIVE,45
01153,8416,PRESENTIAL,11
01162,8404,PRODUCTIVE,3
01127,8405,PRODUCTIVE,9
01102,0059,PRODUCTIVE,12
01092,8405,PRODUCTIVE,6
01273,8405,PRESENTIAL,21
01296,8405,PRODUCTIVE,2
01320,0059,PRESENTIAL,86
01062,8421,PRODUCTIVE,11
01245,8405,PRESENTIAL,7
01234,8404,PRESENTIAL,2
01032,8421,PRODUCTIVE,47
01047,8405,PRESENTIAL,29
01035,8425,PRODUCTIVE,3
01212,8405,PRESENTIAL,6
01114,8416,PRODUCTIVE,5
01181,8425,PRODUCTIVE,37
01319,8405,PRODUCTIVE,4
01303,8405,PRESENTIAL,35
01250,8434,PRODUCTIVE,9
01139,8405,PRODUCTIVE,7
01152,8425,PRESENTIAL,7
01077,8405,PRODUCTIVE,2
01060,8404,PRODUCTIVE,8
01040,8405,PRODUCTIVE,3
01019,8404,PRESENTIAL,1
01011,8425,PRODUCTIVE,3
01105,8434,PRODUCTIVE,63
01261,8421,PRESENTIAL,11
01285,8434,PRESENTIAL,15
01284,0059,PRODUCTIVE,14
01057,0059,PRESENTIAL,8
01044,8416,PRESENTIAL,11
01047,8405,PRODUCTIVE,51
01109,8416,PRODUCTIVE,13
01171,8425,PRODUCTIVE,8
01175,0059,PRESENTIAL,8
01175,0059,PRODUCTIVE,8
01002,8405,PRESENTIAL,2
01004,8405,PRODUCTIVE,124
01264,8405,PRESENTIAL,9
01286,8404,PRODUCTIVE,8
01279,8405,PRESENTIAL,2
01135,8416,PRODUCTIVE,14
01237,8425,PRESENTIAL,19
01083,8434,PRODUCTIVE,15
01069,8405,PRESENTIAL,12
01078,8416,PRODUCTIVE,2
01027,8421,PRODUCTIVE,22
01114,8416,PRESENTIAL,8
01200,8405,PRESENTIAL,4
01207,8405,PRODUCTIVE,4
01257,8416,PRODUCTIVE,6
01167,8434,PRODUCTIVE,8
01166,8434,PRESENTIAL,36
01166,8434,PRODUCTIVE,28
01021,8434,PRESENTIAL,27
01021,8434,PRODUCTIVE,9
01016,0059,PRODUCTIVE,3
01241,8405,PRESENTIAL,15
01033,8416,PRODUCTIVE,110
01074,8405,PRODUCTIVE,33
01306,0059,PRODUCTIVE,9
01317,8405,PRESENTIAL,6
01311,8404,PRESENTIAL,2
01208,8404,PRESENTIAL,2
01107,8405,PRESENTIAL,1
01272,8405,PRESENTIAL,28
01264,8405,PRODUCTIVE,6
01173,8416,PRODUCTIVE,36
01170,8425,PRODUCTIVE,11
01185,8404,PRESENTIAL,123
01006,8404,PRESENTIAL,1
01023,0059,PRODUCTIVE,2
01318,8434,PRODUCTIVE,10
01248,8421,PRESENTIAL,44
01237,8425,PRODUCTIVE,42
01225,8434,PRESENTIAL,2
01232,8405,PRESENTIAL,54
01247,8416,PRESENTIAL,22
01242,8405,PRODUCTIVE,4
01361,8421,PRESENTIAL,14
01331,8405,PRESENTIAL,1
01321,8405,PRESENTIAL,6
01352,0059,PRODUCTIVE,3
01448,8416,PRESENTIAL,4
01228,8425,PRODUCTIVE,14
01241,8405,PRODUCTIVE,17
01363,8405,PRODUCTIVE,13
01370,0059,PRODUCTIVE,10
02008,3221,PRODUCTIVE,5
02095,3220,PRESENTIAL,112
02034,3221,PRESENTIAL,3
02024,3214,PRESENTIAL,1
01338,8404,PRESENTIAL,9
02050,3217,PRESENTIAL,2
01388,8405,PRESENTIAL,31
01392,8425,PRESENTIAL,4
01416,8405,PRESENTIAL,13
01393,8405,PRESENTIAL,10
01412,8405,PRESENTIAL,7
01370,0059,PRESENTIAL,37
01381,8405,PRODUCTIVE,7
01430,8405,PRODUCTIVE,6
02116,3217,PRESENTIAL,2
02129,3221,PRODUCTIVE,3
02115,3221,PRESENTIAL,2
02084,3209,PRODUCTIVE,7
01384,8405,PRESENTIAL,41
02030,3220,PRODUCTIVE,5
01373,8425,PRODUCTIVE,19
02155,3214,PRESENTIAL,0
02152,3221,PRESENTIAL,3
02110,3221,PRESENTIAL,48
02105,3209,PRODUCTIVE,2
02056,3220,PRODUCTIVE,4
02078,3221,PRESENTIAL,2
01399,8416,PRESENTIAL,41
02032,3220,PRESENTIAL,2
01353,8434,PRODUCTIVE,12
01365,0059,PRESENTIAL,16
01360,8416,PRESENTIAL,19
02157,3214,PRESENTIAL,63
02117,3220,PRODUCTIVE,0
02123,3220,PRESENTIAL,5
02108,3214,PRESENTIAL,2
01423,8434,PRESENTIAL,9
02080,3214,PRESENTIAL,2
02086,3220,PRODUCTIVE,3
02074,3214,PRESENTIAL,5
02065,3220,PRODUCTIVE,7
02053,3209,PRESENTIAL,7
02010,3221,PRESENTIAL,3
02007,3214,PRESENTIAL,1
02003,3221,PRODUCTIVE,10
01362,8434,PRODUCTIVE,14
01392,8425,PRODUCTIVE,1
01328,8405,PRODUCTIVE,10
02098,3209,PRESENTIAL,2
02103,3220,PRODUCTIVE,8
02089,3221,PRODUCTIVE,19
01457,0059,PRESENTIAL,71
01450,8405,PRODUCTIVE,28
02004,3214,PRODUCTIVE,2
01456,8404,PRODUCTIVE,4
02065,3220,PRESENTIAL,12
01420,8434,PRODUCTIVE,10
01363,8405,PRESENTIAL,35
02041,3220,PRESENTIAL,9
02157,3214,PRODUCTIVE,23
02146,3209,PRODUCTIVE,2
01328,8405,PRESENTIAL,11
02117,3220,PRESENTIAL,1
01405,8405,PRESENTIAL,21
01410,8425,PRESENTIAL,4
02083,3209,PRESENTIAL,6
02104,3214,PRESENTIAL,2
02016,3220,PRODUCTIVE,2
01444,8405,PRODUCTIVE,8
01431,8405,PRESENTIAL,18
02061,3220,PRODUCTIVE,1
02052,3221,PRODUCTIVE,2
02053,3209,PRODUCTIVE,19
02076,3214,PRESENTIAL,2
01347,8434,PRODUCTIVE,20
01372,8404,PRODUCTIVE,6
01383,8405,PRODUCTIVE,16
02118,3221,PRESENTIAL,2
01407,8416,PRESENTIAL,20
02088,3214,PRESENTIAL,1
01427,8434,PRODUCTIVE,102
01350,8405,PRODUCTIVE,30
02033,3214,PRESENTIAL,2
02024,3214,PRODUCTIVE,2
02070,3220,PRESENTIAL,4
02156,3214,PRESENTIAL,1
01437,8405,PRESENTIAL,2
02057,3220,PRESENTIAL,18
02051,3209,PRODUCTIVE,12
02051,3209,PRESENTIAL,2
02054,3221,PRODUCTIVE,7
02063,3220,PRESENTIAL,2
02029,3220,PRESENTIAL,1
01383,8405,PRESENTIAL,20
01437,8405,PRODUCTIVE,1
01385,8405,PRODUCTIVE,13
01342,8421,PRESENTIAL,6
02108,3214,PRODUCTIVE,0
02064,3221,PRESENTIAL,52
02058,3214,PRODUCTIVE,5
02073,3214,PRESENTIAL,6
02159,3221,PRODUCTIVE,5
01426,8405,PRESENTIAL,52
01430,8405,PRESENTIAL,5
02091,3221,PRESENTIAL,1
02086,3220,PRESENTIAL,6
02080,3214,PRODUCTIVE,2
01404,8405,PRODUCTIVE,1
01457,0059,PRODUCTIVE,43
01351,8434,PRESENTIAL,18
01373,8425,PRESENTIAL,26
01356,8405,PRODUCTIVE,2
01372,8404,PRESENTIAL,6
01423,8434,PRODUCTIVE,6
01421,8405,PRODUCTIVE,14
02102,3214,PRODUCTIVE,5
02103,3220,PRESENTIAL,30
02136,3217,PRODUCTIVE,5
01387,8405,PRESENTIAL,3
02018,3214,PRESENTIAL,45
02015,3221,PRESENTIAL,1
02012,3221,PRESENTIAL,1
02002,3220,PRESENTIAL,4
02009,3220,PRESENTIAL,5
02119,3209,PRESENTIAL,4
02029,3220,PRODUCTIVE,3
02037,3214,PRESENTIAL,15
01339,8434,PRODUCTIVE,11
02158,3214,PRODUCTIVE,1
01416,8405,PRODUCTIVE,5
01402,0059,PRODUCTIVE,6
01411,8405,PRODUCTIVE,1
02102,3214,PRESENTIAL,4
02094,3209,PRESENTIAL,9
02001,3220,PRESENTIAL,9
01452,8404,PRODUCTIVE,5
02008,3221,PRESENTIAL,1
02039,3214,PRESENTIAL,2
02028,3214,PRODUCTIVE,16
02120,3221,PRESENTIAL,1
02107,3221,PRODUCTIVE,1
01369,8405,PRESENTIAL,16
02074,3214,PRODUCTIVE,2
02067,3217,PRESENTIAL,2
02075,3220,PRODUCTIVE,1
01411,8405,PRESENTIAL,3
01401,8416,PRESENTIAL,11
02002,3220,PRODUCTIVE,4
02097,3214,PRESENTIAL,6
02085,3209,PRESENTIAL,16
02035,3220,PRESENTIAL,2
02110,3221,PRODUCTIVE,20
02127,3209,PRESENTIAL,2
01337,0059,PRESENTIAL,16
01335,8405,PRODUCTIVE,5
01329,8404,PRODUCTIVE,2
02143,3220,PRODUCTIVE,3
02162,3209,PRODUCTIVE,2
02064,3221,PRODUCTIVE,7
01374,8405,PRESENTIAL,22
01441,8425,PRODUCTIVE,19
02090,3209,PRODUCTIVE,3
02006,3220,PRODUCTIVE,1
02044,3214,PRESENTIAL,2
02049,3220,PRODUCTIVE,4
02145,3220,PRESENTIAL,11
01404,8405,PRESENTIAL,6
01403,8405,PRESENTIAL,30
01346,8405,PRODUCTIVE,7
01331,8405,PRODUCTIVE,4
01348,8434,PRODUCTIVE,35
01349,8421,PRESENTIAL,5
02121,3209,PRESENTIAL,2
02133,3214,PRODUCTIVE,6
02099,3209,PRODUCTIVE,1
02106,3214,PRODUCTIVE,0
01451,8405,PRODUCTIVE,136
01424,8421,PRODUCTIVE,18
01421,8405,PRESENTIAL,8
02025,3220,PRODUCTIVE,4
02033,3214,PRODUCTIVE,1
02153,3214,PRODUCTIVE,4
02128,3214,PRESENTIAL,35
01400,8405,PRESENTIAL,2
01425,8405,PRESENTIAL,9
01456,8404,PRESENTIAL,2
02001,3220,PRODUCTIVE,2
01354,8416,PRESENTIAL,275
01350,8405,PRESENTIAL,59
01366,8405,PRESENTIAL,6
02143,3220,PRESENTIAL,9
02148,3221,PRESENTIAL,2
02155,3214,PRODUCTIVE,1
02038,3214,PRESENTIAL,2
02082,3209,PRODUCTIVE,2
02079,3217,PRODUCTIVE,3
01405,8405,PRODUCTIVE,12
01403,8405,PRODUCTIVE,7
02075,3220,PRESENTIAL,4
02072,3214,PRODUCTIVE,1
02063,3220,PRODUCTIVE,6
02148,3221,PRODUCTIVE,3
02163,3209,PRESENTIAL,63
01375,8405,PRODUCTIVE,7
02124,3220,PRESENTIAL,7
02124,3220,PRODUCTIVE,0
01390,8405,PRESENTIAL,59
02091,3221,PRODUCTIVE,2
02084,3209,PRESENTIAL,4
02087,3221,PRESENTIAL,1
01445,8405,PRODUCTIVE,8
02018,3214,PRODUCTIVE,12
02142,3220,PRESENTIAL,3
01348,8434,PRESENTIAL,79
01351,8434,PRODUCTIVE,16
02066,3220,PRODUCTIVE,1
01381,8405,PRESENTIAL,10
01359,8405,PRODUCTIVE,7
01369,8405,PRODUCTIVE,8
02125,3209,PRESENTIAL,6
02131,3221,PRESENTIAL,25
02134,3217,PRESENTIAL,18
02031,3217,PRESENTIAL,10
02046,3214,PRESENTIAL,16
02042,3209,PRESENTIAL,5
02048,3214,PRODUCTIVE,2
02034,3221,PRODUCTIVE,4
02047,3214,PRESENTIAL,2
02048,3214,PRESENTIAL,4
01415,8404,PRESENTIAL,7
01407,8416,PRODUCTIVE,2
01445,8405,PRESENTIAL,9
02081,3220,PRESENTIAL,4
02085,3209,PRODUCTIVE,16
01344,8405,PRODUCTIVE,79
02141,3217,PRESENTIAL,53
02136,3217,PRESENTIAL,2
02012,3221,PRODUCTIVE,4
01449,8405,PRODUCTIVE,3
01364,8405,PRESENTIAL,11
02122,3214,PRODUCTIVE,1
01385,8405,PRESENTIAL,19
01391,8405,PRODUCTIVE,5
01439,0059,PRESENTIAL,1
01433,8405,PRODUCTIVE,1
02154,3221,PRODUCTIVE,1
02144,3220,PRODUCTIVE,2
02138,3221,PRODUCTIVE,1
