path,kind,size_bytes,classification,evidence,columns,years,members,error
data/raw/temporal_depth/bpe/DS_BPE_2024_CSV_FR.zip,zip,13413554,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2024 evidence.",,,"[""DS_BPE_2024_metadata.csv"", ""DS_BPE_2024_data.csv""]",
data/raw/temporal_depth/bpe/DS_BPE_EDUCATION_2024_CSV_FR.zip,zip,10609825,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2024 evidence.",,,"[""DS_BPE_EDUCATION_2024_metadata.csv"", ""DS_BPE_EDUCATION_2024_data.csv""]",
data/raw/temporal_depth/bpe/DS_BPE_EVOLUTION_2024_CSV_FR.zip,zip,6616461,official_harmonized_bpe_evolution_not_bpe2020_raw,"Official BPE evolution archive; useful comparable layer, but not raw BPE 2020.",,,"[""DS_BPE_EVOLUTION_2024_metadata.csv"", ""DS_BPE_EVOLUTION_2024_data.csv""]",
data/raw/temporal_depth/bpe/DS_BPE_EVOLUTION_CSV_FR.zip,zip,6767593,official_harmonized_bpe_evolution_not_bpe2020_raw,"Official BPE evolution archive; useful comparable layer, but not raw BPE 2020.",,,"[""DS_BPE_EVOLUTION_2024_metadata.csv"", ""DS_BPE_EVOLUTION_2024_data.csv""]",
data/raw/temporal_depth/bpe/DS_BPE_SPORT_CULTURE_2024_CSV_FR.zip,zip,10224643,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2024 evidence.",,,"[""DS_BPE_SPORT_CULTURE_2024_metadata.csv"", ""DS_BPE_SPORT_CULTURE_2024_data.csv""]",
data/raw/temporal_depth/bpe/bpe20_ensemble_csv.zip,zip,44177,invalid_download_html_error,"Filename is BPE20, but file is HTML, not a ZIP archive.",,,[],
data/raw/temporal_depth/bpe/bpe21-ensemble-csv.zip,zip,6035385,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2021 evidence.",,,"[""bpe21_ensemble.csv"", ""Varmod_bpe21_ensemble.csv""]",
data/raw/temporal_depth/bpe/data_gouv_bpe_2020_candidate.csv,table,163163560,bpe_2020_related_not_observation_data,Mentions BPE 2020 but lacks required observation columns.,"[""Année"", ""Région"", ""Département"", ""Commune"", ""Type d'équipement"", ""Coordonnées géo (commune)"", ""Nombre"", ""Code région"", ""Code département"", ""Code INSEE"", ""Code d'équipement""]","[""2011"", ""2012""]",,
data/raw/temporal_depth/bpe/derived_article_tables/if113.xls,table,29035520,bpe_derived_article_table_wrong_year,Opaque XLS contains INSEE figure tables sourced from BPE 2016; not raw BPE 2020 observations.,,,,
data/raw/temporal_depth/bpe/derived_article_tables/if125.xls,table,659968,bpe_derived_article_table_wrong_year,Opaque XLS contains INSEE figure tables sourced from BPE 2012/2017; not raw BPE 2020 observations.,,,,
data/raw/temporal_depth/bpe/docs/BPE15_20_Liste_equipements_insee-fr.pdf,pdf,461218,documentation_or_nomenclature_only,BPE/equipment-related PDF documentation.,,,,
data/raw/temporal_depth/bpe/docs/BPE15_20_Precautions_utilisation_insee-fr.pdf,pdf,425054,documentation_or_nomenclature_only,BPE 2020 methodological/documentation PDF; not data.,,,,
data/raw/temporal_depth/bpe/docs/BPE20_Liste_equipements_insee-fr.pdf,pdf,628499,documentation_or_nomenclature_only,BPE 2020 equipment list; not row-level observations.,,,,
data/raw/temporal_depth/bpe/docs/contenu_bpe1520.pdf,pdf,531549,documentation_or_nomenclature_only,BPE 2020 content/variable documentation; not row-level observations.,,,,
data/raw/temporal_depth/bpe/docs/contenu_bpe20_enseignement.pdf,pdf,464110,documentation_or_nomenclature_only,BPE 2020 content/variable documentation; not row-level observations.,,,,
data/raw/temporal_depth/bpe/docs/contenu_bpe20_enseignement_xy.pdf,pdf,486639,documentation_or_nomenclature_only,BPE 2020 content/variable documentation; not row-level observations.,,,,
data/raw/temporal_depth/bpe/docs/contenu_bpe20_ensemble.pdf,pdf,615361,documentation_or_nomenclature_only,BPE 2020 content/variable documentation; not row-level observations.,,,,
data/raw/temporal_depth/bpe/docs/contenu_bpe20_ensemble_xy.pdf,pdf,636455,documentation_or_nomenclature_only,BPE 2020 content/variable documentation; not row-level observations.,,,,
data/raw/temporal_depth/bpe/docs/contenu_bpe20_sport_loisir.pdf,pdf,436077,documentation_or_nomenclature_only,BPE 2020 content/variable documentation; not row-level observations.,,,,
data/raw/temporal_depth/bpe/docs/contenu_bpe20_sport_loisir_xy.pdf,pdf,455506,documentation_or_nomenclature_only,BPE 2020 content/variable documentation; not row-level observations.,,,,
data/raw/temporal_depth/bpe/ds_bpe_evolution_com_2019_2024_geo_2025.zip,zip,3462695,official_harmonized_bpe_evolution_not_bpe2020_raw,"Official BPE evolution archive; useful comparable layer, but not raw BPE 2020.",,,"[""ds_bpe_evolution_com_2019_2024_geo_2025.csv"", ""DS_BPE_EVOLUTION_2024_metadata.csv""]",
data/raw/temporal_depth/bpe/extracted_cache/BPE23-full.csv,table,997034921,bpe_data_wrong_year_or_not_2020,Has BPE-like columns but detected years=['2023'].,"[""AN"", ""NOMRS"", ""CNOMRS"", ""NUMVOIE"", ""INDREP"", ""TYPVOIE"", ""LIBVOIE"", ""CADR"", ""LIBCOM"", ""CODPOS"", ""DEPCOM"", ""DEP"", ""REG"", ""DOM"", ""SDOM"", ""TYPEQU"", ""SIRET"", ""STATUT_DIFFUSION"", ""CANTINE"", ""INTERNAT"", ""RPI"", ""EP"", ""CL_PGE"", ""SECT"", ""ACCES_AIRE_PRATIQUE"", ""ACCES_LIBRE"", ""ACCES_SANITAIRE"", ""ACCES_VESTIAIRE"", ""CAPACITE_D_ACCUEIL"", ""PRES_DOUCHE"", ""PRES_SANITAIRE"", ""SAISONNIER"", ""COUVERT"", ""ECLAIRE"", ""CATEGORIE"", ""MULTIPLEXE"", ""ACCUEIL"", ""ITINERANCE"", ""MODE_GESTION"", ""SSTYPHEB"", ""TYPE"", ""CAPACITE"", ""INDIC_CAPA"", ""NBEQUIDENT"", ""INDIC_NBEQUIDENT"", ""NBSALLES"", ""INDIC_NBSALLES"", ""NBLIEUX"", ""INDIC_NBLIEUX"", ""LAMBERT_X"", ""LAMBERT_Y"", ""LONGITUDE"", ""LATITUDE"", ""QUALITE_XY"", ""EPSG"", ""QUALITE_GEOLOC"", ""TR_DIST_PRECISION"", ""DCIRIS"", ""QUALI_IRIS"", ""IRISEE"", ""QP2015"", ""QUALI_QP2015"", ""QP"", ""QUALI_QP"", ""QVA"", ""QUALI_QVA"", ""ZUS"", ""QUALI_ZUS"", ""EPCI"", ""UU2020"", ""BV2022"", ""AAV2020"", ""DENS3"", ""DENS7"", ""_infos_commune.nom_departement"", ""_infos_commune.nom_epci""]","[""2023""]",,
data/raw/temporal_depth/bpe/extracted_cache/BPE23.csv,table,1276048989,bpe_data_wrong_year_or_not_2020,Has BPE-like columns but detected years=['2023'].,"[""AN"", ""NOMRS"", ""CNOMRS"", ""NUMVOIE"", ""INDREP"", ""TYPVOIE"", ""LIBVOIE"", ""CADR"", ""LIBCOM"", ""CODPOS"", ""DEPCOM"", ""DEP"", ""REG"", ""DOM"", ""SDOM"", ""TYPEQU"", ""SIRET"", ""STATUT_DIFFUSION"", ""CANTINE"", ""INTERNAT"", ""RPI"", ""EP"", ""CL_PGE"", ""SECT"", ""ACCES_AIRE_PRATIQUE"", ""ACCES_LIBRE"", ""ACCES_SANITAIRE"", ""ACCES_VESTIAIRE"", ""CAPACITE_D_ACCUEIL"", ""PRES_DOUCHE"", ""PRES_SANITAIRE"", ""SAISONNIER"", ""COUVERT"", ""ECLAIRE"", ""CATEGORIE"", ""MULTIPLEXE"", ""ACCUEIL"", ""ITINERANCE"", ""MODE_GESTION"", ""SSTYPHEB"", ""TYPE"", ""CAPACITE"", ""INDIC_CAPA"", ""NBEQUIDENT"", ""INDIC_NBEQUIDENT"", ""NBSALLES"", ""INDIC_NBSALLES"", ""NBLIEUX"", ""INDIC_NBLIEUX"", ""LAMBERT_X"", ""LAMBERT_Y"", ""LONGITUDE"", ""LATITUDE"", ""QUALITE_XY"", ""EPSG"", ""QUALITE_GEOLOC"", ""TR_DIST_PRECISION"", ""DCIRIS"", ""QUALI_IRIS"", ""IRISEE"", ""QP2015"", ""QUALI_QP2015"", ""QP"", ""QUALI_QP"", ""QVA"", ""QUALI_QVA"", ""ZUS"", ""QUALI_ZUS"", ""EPCI"", ""UU2020"", ""BV2022"", ""AAV2020"", ""DENS3"", ""DENS7""]","[""2023""]",,
data/raw/temporal_depth/bpe/parquet_cache/BPE24.parquet,table,183528410,bpe_data_wrong_year_or_not_2020,BPE24 parquet by filename.,,,,
data/raw/temporal_depth/bpe/regional_mirrors/bpe19_bfc.zip,zip,4258482,bpe_data_wrong_year_or_not_2020,"BPE archive, but 2019 evidence.",,,"[""bpe19_bfc.cpg"", ""bpe19_bfc.dbf"", ""bpe19_bfc.prj"", ""bpe19_bfc.qix"", ""bpe19_bfc.shp"", ""bpe19_bfc.shx""]",
data/raw/temporal_depth/bpe/regional_mirrors/bpe_ens_xy_bfc.csv,table,14971827,bpe_data_wrong_year_or_not_2020,Has BPE-like columns but detected years=['2021'].,"[""AAV2020"", ""AN"", ""BV2012"", ""DEP"", ""DEPCOM"", ""DOM"", ""EPCI"", ""DCIRIS"", ""LAMBERT_X"", ""LAMBERT_Y"", ""QP"", ""QUALI_IRIS"", ""QUALI_QP"", ""QUALI_QVA"", ""QUALI_ZFU"", ""QUALI_ZUS"", ""QUALITE_XY"", ""QVA"", ""REG"", ""SDOM"", ""TYPEQU"", ""UU2020"", ""ZFU"", ""ZUS""]","[""2021""]",,
data/raw/temporal_depth/bpe/regional_mirrors/bpe_ens_xy_bfc.zip,zip,7043914,bpe_related_year_unclear,BPE-related archive without confirmed 2020.,,,"[""bpe_ens_xy_bfc.dbf"", ""bpe_ens_xy_bfc.prj"", ""bpe_ens_xy_bfc.shp"", ""bpe_ens_xy_bfc.shx""]",
data/raw/temporal_depth/bpe/rejected/base_permanente_equipements_geolocalisee_pays_de_la_loire_2021_rejected.csv,table,29937788,bpe_related_year_unclear,"BPE/equipment-related name or columns, but no confirmed 2020 observations.","[""Geo Point"", ""Geo Shape"", ""Code Officiel Région"", ""Code Officiel Département"", ""Code Officiel Commune / Arrondissement Municipal"", ""Code Officiel IRIS"", ""Année"", ""Type"", ""Qualité du géocodage"", ""Description"", ""Catégorie"", ""Nom Officiel Région"", ""Nom Officiel Département"", ""Nom Officiel EPCI"", ""Nom Officiel Commune / Arrondissement Municipal"", ""Code Iso 3166-3 Zone"", ""Code Officiel EPCI""]","[""2021""]",,
data/raw/temporal_depth/bpe/third_party_mirrors/buildingref-france-bpe-all-geolocated-millesime.csv,table,1033546247,bpe_related_year_unclear,"BPE/equipment-related name or columns, but no confirmed 2020 observations.","[""Geo Point"", ""Geo Shape"", ""Code Officiel Région"", ""Code Officiel Département"", ""Code Officiel Commune / Arrondissement Municipal"", ""Code Officiel IRIS"", ""Année"", ""Type"", ""Qualité du géocodage"", ""Description"", ""Catégorie"", ""Nom Officiel Région"", ""Nom Officiel Département"", ""Nom Officiel EPCI"", ""Nom Officiel Commune / Arrondissement Municipal"", ""Code Iso 3166-3 Zone"", ""Code Officiel EPCI""]","[""2016"", ""2021""]",,
data/raw/temporal_depth/bpe/third_party_mirrors/buildingref-france-bpe-all-geolocated.csv,table,585372699,bpe_related_year_unclear,"BPE/equipment-related name or columns, but no confirmed 2020 observations.","[""Geo Point"", ""Geo Shape"", ""Code Officiel Région"", ""Code Officiel Département"", ""Code Officiel Commune / Arrondissement Municipal"", ""Code Officiel IRIS"", ""Année"", ""Type"", ""Qualité du géocodage"", ""Description"", ""Catégorie"", ""Nom Officiel Région"", ""Nom Officiel Département"", ""Nom Officiel EPCI"", ""Nom Officiel Commune / Arrondissement Municipal"", ""Code Iso 3166-3 Zone"", ""Code Officiel EPCI""]","[""2021""]",,
data/raw/temporal_depth/bpe/third_party_mirrors/buildingref-france-bpe-all-geolocated.parquet,table,129988763,bpe_related_year_unclear,Parquet candidate by filename; not deeply read in this audit.,,,,
metadata/bpe_2020_source_candidates_v0.csv,table,659994,bpe_2020_related_not_observation_data,Mentions BPE 2020 but lacks required observation columns.,"[""source_system"", ""dataset_title"", ""organization"", ""dataset_page"", ""resource_title"", ""resource_format"", ""resource_url"", ""year_signal"", ""coverage_signal"", ""access_status"", ""content_type"", ""content_length"", ""classification"", ""usable_for_mosaic"", ""notes""]",[],,
metadata/local_bpe_2020_file_audit_v0.csv,table,13723,bpe_2020_related_not_observation_data,Mentions BPE 2020 but lacks required observation columns.,"[""path"", ""kind"", ""size_bytes"", ""classification"", ""evidence"", ""columns"", ""years"", ""members"", ""error""]",[],,
