target_year,ZE2020,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
2017,56,45.0,48.0,182.0,7.0,10.0,14.0,74.0,48.0,56.0,484.0
2018,56,55.0,51.0,181.0,6.0,10.0,23.0,86.0,53.0,52.0,517.0
2019,56,80.0,69.0,205.0,17.0,18.0,31.0,120.0,38.0,54.0,632.0
2020,56,95.0,65.0,218.0,14.0,14.0,29.0,84.0,33.0,70.0,622.0
2021,56,116.0,73.0,221.0,18.0,18.0,33.0,126.0,66.0,93.0,764.0
2022,56,142.0,60.0,184.0,27.0,14.0,26.0,149.0,68.0,116.0,786.0
2023,56,133.0,65.0,187.0,17.0,20.0,25.0,154.0,51.0,108.0,760.0
2024,56,171.0,55.0,187.0,27.0,18.0,43.0,154.0,53.0,107.0,815.0
2025,56,188.0,78.0,226.0,27.0,16.0,39.0,203.0,66.0,108.0,951.0
2012,57,63.0,185.0,369.0,26.0,24.0,19.0,209.0,77.0,121.0,1093.0
2013,57,56.0,175.0,354.0,32.0,25.0,31.0,145.0,116.0,104.0,1038.0
2014,57,84.0,164.0,353.0,29.0,33.0,27.0,206.0,87.0,112.0,1095.0
2015,57,54.0,186.0,352.0,28.0,25.0,39.0,178.0,91.0,99.0,1052.0
2016,57,53.0,147.0,383.0,30.0,30.0,26.0,181.0,82.0,106.0,1038.0
2017,57,64.0,161.0,421.0,29.0,26.0,39.0,196.0,99.0,111.0,1146.0
2018,57,60.0,124.0,470.0,44.0,36.0,46.0,203.0,113.0,127.0,1223.0
2019,57,85.0,171.0,519.0,44.0,50.0,48.0,278.0,112.0,159.0,1466.0
2020,57,86.0,182.0,587.0,64.0,38.0,71.0,279.0,99.0,163.0,1569.0
2021,57,141.0,191.0,575.0,66.0,51.0,92.0,378.0,140.0,203.0,1837.0
2022,57,170.0,223.0,546.0,73.0,68.0,91.0,453.0,177.0,205.0,2006.0
2023,57,230.0,229.0,540.0,77.0,53.0,80.0,418.0,127.0,219.0,1973.0
2024,57,228.0,212.0,646.0,89.0,40.0,59.0,489.0,160.0,241.0,2164.0
2025,57,210.0,183.0,718.0,95.0,44.0,90.0,468.0,172.0,234.0,2214.0
2012,58,35.0,57.0,127.0,9.0,9.0,17.0,58.0,23.0,66.0,401.0
2013,58,41.0,46.0,145.0,6.0,11.0,11.0,40.0,33.0,65.0,398.0
2014,58,40.0,52.0,156.0,6.0,12.0,20.0,46.0,37.0,56.0,425.0
2015,58,41.0,40.0,131.0,3.0,9.0,14.0,61.0,42.0,69.0,410.0
2016,58,45.0,45.0,149.0,4.0,16.0,16.0,44.0,31.0,40.0,390.0
2017,58,28.0,39.0,128.0,11.0,18.0,13.0,50.0,41.0,40.0,368.0
2018,58,35.0,33.0,169.0,5.0,7.0,20.0,73.0,41.0,50.0,433.0
2019,58,45.0,46.0,200.0,9.0,20.0,23.0,76.0,30.0,64.0,513.0
2020,58,44.0,48.0,200.0,14.0,21.0,37.0,77.0,40.0,63.0,544.0
2021,58,50.0,71.0,220.0,9.0,21.0,40.0,103.0,50.0,82.0,646.0
2022,58,70.0,53.0,175.0,17.0,28.0,33.0,127.0,47.0,90.0,640.0
2023,58,93.0,48.0,178.0,14.0,20.0,27.0,115.0,34.0,92.0,621.0
2024,58,103.0,54.0,223.0,15.0,29.0,40.0,139.0,47.0,99.0,749.0
2025,58,111.0,57.0,197.0,21.0,24.0,44.0,133.0,38.0,107.0,732.0
2012,59,69.0,200.0,397.0,52.0,35.0,50.0,237.0,164.0,169.0,1373.0
2013,59,73.0,181.0,466.0,31.0,54.0,35.0,234.0,148.0,149.0,1371.0
2014,59,96.0,146.0,394.0,36.0,39.0,43.0,216.0,161.0,137.0,1268.0
2015,59,79.0,137.0,430.0,32.0,37.0,52.0,208.0,148.0,134.0,1257.0
2016,59,68.0,142.0,437.0,31.0,34.0,68.0,242.0,161.0,129.0,1312.0
2017,59,79.0,167.0,463.0,45.0,47.0,75.0,241.0,151.0,133.0,1401.0
2018,59,91.0,184.0,536.0,47.0,37.0,55.0,283.0,154.0,140.0,1527.0
2019,59,139.0,222.0,614.0,36.0,48.0,101.0,325.0,164.0,199.0,1848.0
2020,59,150.0,176.0,648.0,57.0,61.0,83.0,322.0,166.0,175.0,1838.0
2021,59,192.0,246.0,799.0,76.0,56.0,97.0,473.0,204.0,254.0,2397.0
2022,59,238.0,257.0,631.0,75.0,77.0,113.0,490.0,217.0,298.0,2396.0
2023,59,219.0,252.0,647.0,92.0,89.0,78.0,587.0,210.0,246.0,2420.0
2024,59,245.0,223.0,774.0,112.0,83.0,116.0,564.0,213.0,285.0,2615.0
2025,59,297.0,219.0,726.0,103.0,72.0,125.0,640.0,235.0,294.0,2711.0
2012,60,69.0,138.0,294.0,25.0,15.0,51.0,125.0,111.0,162.0,990.0
2013,60,47.0,136.0,299.0,26.0,19.0,37.0,146.0,115.0,110.0,935.0
2014,60,76.0,122.0,372.0,19.0,31.0,27.0,153.0,102.0,128.0,1030.0
2015,60,73.0,114.0,330.0,24.0,28.0,21.0,132.0,135.0,94.0,951.0
2016,60,74.0,104.0,327.0,18.0,18.0,29.0,137.0,149.0,104.0,960.0
2017,60,76.0,105.0,418.0,26.0,29.0,35.0,134.0,102.0,101.0,1026.0
2018,60,95.0,96.0,380.0,28.0,31.0,43.0,157.0,135.0,133.0,1098.0
2019,60,149.0,130.0,437.0,35.0,26.0,78.0,201.0,103.0,125.0,1284.0
2020,60,155.0,117.0,491.0,30.0,26.0,55.0,217.0,111.0,112.0,1314.0
2021,60,240.0,150.0,514.0,45.0,32.0,88.0,262.0,148.0,185.0,1664.0
2022,60,290.0,152.0,455.0,44.0,39.0,105.0,276.0,116.0,188.0,1665.0
2023,60,251.0,152.0,393.0,59.0,36.0,93.0,316.0,137.0,158.0,1595.0
2024,60,300.0,147.0,471.0,65.0,34.0,64.0,329.0,158.0,197.0,1765.0
2025,60,334.0,171.0,510.0,58.0,31.0,74.0,402.0,163.0,239.0,1982.0
2012,61,37.0,89.0,139.0,13.0,17.0,10.0,56.0,37.0,51.0,449.0
2013,61,34.0,61.0,118.0,14.0,18.0,11.0,81.0,35.0,44.0,416.0
2014,61,31.0,62.0,148.0,13.0,14.0,10.0,65.0,43.0,58.0,444.0
2015,61,35.0,56.0,119.0,16.0,10.0,11.0,65.0,40.0,41.0,393.0
2016,61,18.0,59.0,151.0,17.0,7.0,18.0,90.0,52.0,46.0,458.0
2017,61,32.0,56.0,176.0,18.0,10.0,30.0,75.0,34.0,53.0,484.0
2018,61,22.0,40.0,180.0,16.0,12.0,18.0,77.0,55.0,54.0,474.0
2019,61,45.0,74.0,158.0,27.0,12.0,23.0,95.0,47.0,65.0,546.0
2020,61,44.0,68.0,164.0,26.0,16.0,31.0,117.0,38.0,64.0,568.0
2021,61,93.0,79.0,178.0,20.0,19.0,40.0,132.0,57.0,99.0,717.0
2022,61,112.0,62.0,147.0,19.0,19.0,39.0,141.0,55.0,109.0,703.0
2023,61,111.0,61.0,165.0,23.0,16.0,23.0,147.0,52.0,87.0,685.0
2024,61,138.0,68.0,167.0,20.0,20.0,28.0,193.0,50.0,104.0,788.0
2025,61,107.0,54.0,199.0,33.0,15.0,27.0,218.0,61.0,105.0,819.0
2012,62,46.0,84.0,154.0,14.0,16.0,22.0,80.0,58.0,76.0,550.0
2013,62,52.0,74.0,158.0,18.0,19.0,19.0,92.0,76.0,60.0,568.0
2014,62,56.0,71.0,167.0,8.0,22.0,15.0,83.0,59.0,44.0,525.0
2015,62,65.0,49.0,145.0,12.0,20.0,23.0,62.0,72.0,58.0,506.0
2016,62,52.0,50.0,176.0,9.0,25.0,21.0,69.0,68.0,55.0,525.0
2017,62,49.0,71.0,148.0,10.0,17.0,30.0,82.0,70.0,58.0,535.0
2018,62,41.0,70.0,173.0,21.0,11.0,25.0,93.0,61.0,106.0,601.0
2019,62,61.0,74.0,174.0,16.0,19.0,37.0,103.0,75.0,106.0,665.0
2020,62,80.0,81.0,195.0,29.0,25.0,34.0,125.0,69.0,100.0,738.0
2021,62,116.0,80.0,224.0,32.0,32.0,36.0,164.0,76.0,130.0,890.0
2022,62,151.0,105.0,175.0,29.0,20.0,47.0,196.0,103.0,148.0,974.0
2023,62,145.0,81.0,187.0,47.0,30.0,37.0,195.0,73.0,142.0,937.0
2024,62,196.0,110.0,230.0,39.0,48.0,51.0,214.0,88.0,152.0,1128.0
2025,62,179.0,107.0,233.0,48.0,30.0,42.0,245.0,111.0,140.0,1135.0
2012,63,92.0,48.0,154.0,7.0,9.0,29.0,59.0,58.0,43.0,499.0
2013,63,174.0,60.0,138.0,2.0,8.0,19.0,64.0,52.0,52.0,569.0
2014,63,112.0,42.0,163.0,7.0,6.0,19.0,49.0,56.0,51.0,505.0
2015,63,128.0,55.0,152.0,7.0,10.0,13.0,61.0,73.0,49.0,548.0
2016,63,92.0,48.0,187.0,9.0,12.0,19.0,71.0,55.0,39.0,532.0
2017,63,89.0,51.0,120.0,8.0,12.0,22.0,63.0,73.0,38.0,476.0
2018,63,76.0,50.0,184.0,17.0,17.0,29.0,76.0,66.0,57.0,572.0
2019,63,132.0,52.0,199.0,14.0,12.0,23.0,89.0,71.0,57.0,649.0
2020,63,158.0,74.0,216.0,8.0,11.0,26.0,101.0,74.0,80.0,748.0
2021,63,187.0,94.0,251.0,26.0,12.0,33.0,109.0,100.0,88.0,900.0
2022,63,286.0,68.0,197.0,28.0,19.0,44.0,146.0,75.0,96.0,959.0
2023,63,221.0,70.0,172.0,23.0,22.0,34.0,130.0,76.0,92.0,840.0
2024,63,225.0,75.0,223.0,22.0,21.0,45.0,167.0,76.0,98.0,952.0
2025,63,256.0,63.0,204.0,29.0,9.0,58.0,170.0,70.0,102.0,961.0
2012,64,54.0,125.0,224.0,18.0,23.0,31.0,92.0,83.0,91.0,741.0
2013,64,57.0,91.0,240.0,19.0,19.0,24.0,91.0,64.0,85.0,690.0
2014,64,48.0,88.0,239.0,17.0,17.0,19.0,98.0,96.0,101.0,723.0
2015,64,72.0,87.0,202.0,11.0,14.0,25.0,107.0,92.0,98.0,708.0
2016,64,71.0,88.0,267.0,10.0,10.0,26.0,99.0,71.0,79.0,721.0
2017,64,56.0,68.0,242.0,16.0,16.0,23.0,102.0,88.0,89.0,700.0
2018,64,50.0,82.0,238.0,15.0,17.0,40.0,122.0,87.0,98.0,749.0
2019,64,80.0,72.0,237.0,17.0,17.0,45.0,160.0,88.0,94.0,810.0
2020,64,80.0,93.0,219.0,21.0,21.0,41.0,183.0,63.0,81.0,802.0
2021,64,116.0,95.0,271.0,31.0,17.0,46.0,203.0,99.0,131.0,1009.0
2022,64,118.0,107.0,254.0,23.0,15.0,43.0,230.0,88.0,118.0,996.0
2023,64,106.0,91.0,236.0,33.0,25.0,42.0,225.0,60.0,124.0,942.0
2024,64,124.0,106.0,272.0,37.0,23.0,54.0,237.0,94.0,128.0,1075.0
2025,64,128.0,85.0,263.0,35.0,19.0,47.0,253.0,92.0,117.0,1039.0
2012,1101,218.0,768.0,1437.0,407.0,113.0,119.0,1192.0,544.0,617.0,5415.0
2013,1101,223.0,765.0,1422.0,347.0,102.0,142.0,1118.0,591.0,546.0,5256.0
2014,1101,211.0,743.0,1637.0,322.0,111.0,126.0,1139.0,618.0,495.0,5402.0
2015,1101,189.0,592.0,1846.0,350.0,130.0,147.0,1117.0,582.0,549.0,5502.0
2016,1101,177.0,585.0,2189.0,367.0,139.0,234.0,1367.0,691.0,552.0,6301.0
2017,1101,223.0,585.0,2232.0,444.0,164.0,233.0,1562.0,739.0,568.0,6750.0
2018,1101,240.0,702.0,3014.0,485.0,202.0,284.0,2007.0,760.0,687.0,8381.0
2019,1101,286.0,792.0,3613.0,616.0,190.0,373.0,2386.0,904.0,790.0,9950.0
2020,1101,325.0,802.0,4368.0,644.0,219.0,380.0,2236.0,913.0,788.0,10675.0
2021,1101,356.0,837.0,4754.0,810.0,314.0,446.0,2492.0,1094.0,1067.0,12170.0
2022,1101,410.0,890.0,3574.0,887.0,300.0,430.0,3211.0,1251.0,1120.0,12073.0
2023,1101,424.0,831.0,3667.0,1039.0,273.0,332.0,3184.0,1232.0,1227.0,12209.0
2024,1101,476.0,937.0,4045.0,1138.0,280.0,348.0,3234.0,1271.0,1225.0,12954.0
2025,1101,493.0,896.0,4367.0,1128.0,259.0,401.0,3376.0,1351.0,1237.0,13508.0
2012,1102,35.0,103.0,171.0,21.0,12.0,14.0,103.0,56.0,88.0,603.0
2013,1102,36.0,121.0,183.0,14.0,14.0,10.0,114.0,68.0,84.0,644.0
2014,1102,42.0,102.0,177.0,23.0,11.0,17.0,102.0,60.0,69.0,603.0
2015,1102,39.0,90.0,176.0,13.0,10.0,15.0,127.0,53.0,80.0,603.0
2016,1102,43.0,101.0,236.0,25.0,14.0,23.0,126.0,78.0,78.0,724.0
2017,1102,36.0,88.0,237.0,23.0,9.0,20.0,128.0,77.0,62.0,680.0
2018,1102,40.0,73.0,274.0,24.0,11.0,19.0,140.0,80.0,85.0,746.0
2019,1102,54.0,116.0,296.0,29.0,20.0,27.0,179.0,80.0,98.0,899.0
2020,1102,70.0,102.0,372.0,31.0,15.0,31.0,170.0,64.0,101.0,956.0
2021,1102,69.0,118.0,433.0,42.0,28.0,20.0,200.0,90.0,130.0,1130.0
2022,1102,72.0,123.0,327.0,43.0,29.0,13.0,247.0,98.0,141.0,1093.0
2023,1102,99.0,129.0,309.0,64.0,40.0,41.0,279.0,90.0,171.0,1222.0
2024,1102,135.0,130.0,311.0,73.0,26.0,53.0,243.0,100.0,153.0,1224.0
2025,1102,109.0,132.0,320.0,48.0,26.0,47.0,311.0,102.0,146.0,1241.0
2012,1103,45.0,135.0,229.0,39.0,17.0,25.0,157.0,74.0,117.0,838.0
2013,1103,41.0,136.0,213.0,38.0,21.0,29.0,138.0,97.0,96.0,809.0
2014,1103,39.0,125.0,220.0,38.0,21.0,28.0,185.0,107.0,85.0,848.0
2015,1103,37.0,119.0,238.0,41.0,22.0,38.0,180.0,89.0,96.0,860.0
2016,1103,40.0,116.0,310.0,40.0,19.0,32.0,188.0,108.0,99.0,952.0
2017,1103,48.0,92.0,308.0,45.0,28.0,36.0,215.0,89.0,101.0,962.0
2018,1103,33.0,113.0,365.0,46.0,24.0,53.0,260.0,96.0,132.0,1122.0
2019,1103,57.0,146.0,448.0,70.0,28.0,61.0,303.0,132.0,151.0,1396.0
2020,1103,52.0,136.0,431.0,70.0,38.0,59.0,274.0,119.0,139.0,1318.0
2021,1103,79.0,141.0,522.0,73.0,33.0,81.0,334.0,137.0,176.0,1576.0
2022,1103,81.0,152.0,429.0,80.0,47.0,60.0,398.0,135.0,210.0,1592.0
2023,1103,122.0,141.0,403.0,96.0,42.0,49.0,405.0,159.0,178.0,1595.0
2024,1103,120.0,128.0,536.0,96.0,42.0,65.0,389.0,153.0,179.0,1708.0
2025,1103,140.0,153.0,572.0,115.0,36.0,65.0,483.0,196.0,225.0,1985.0
2012,1104,177.0,870.0,1447.0,346.0,86.0,160.0,1027.0,496.0,571.0,5180.0
2013,1104,171.0,817.0,1489.0,287.0,116.0,126.0,1002.0,511.0,497.0,5016.0
2014,1104,194.0,790.0,1678.0,288.0,111.0,166.0,1065.0,583.0,523.0,5398.0
2015,1104,140.0,643.0,1706.0,268.0,132.0,185.0,1022.0,573.0,480.0,5149.0
2016,1104,145.0,688.0,1921.0,323.0,130.0,163.0,1159.0,568.0,479.0,5576.0
2017,1104,157.0,673.0,2254.0,355.0,150.0,203.0,1393.0,574.0,563.0,6322.0
2018,1104,173.0,723.0,2761.0,372.0,112.0,234.0,1702.0,616.0,628.0,7321.0
2019,1104,243.0,930.0,3439.0,509.0,170.0,243.0,1912.0,755.0,774.0,8975.0
2020,1104,251.0,1011.0,4561.0,540.0,182.0,287.0,1873.0,703.0,722.0,10130.0
2021,1104,323.0,942.0,4737.0,636.0,219.0,300.0,2304.0,932.0,939.0,11332.0
2022,1104,391.0,1110.0,3614.0,713.0,244.0,312.0,2958.0,1049.0,1003.0,11394.0
2023,1104,422.0,1058.0,3700.0,836.0,184.0,271.0,2850.0,930.0,1089.0,11340.0
2024,1104,493.0,1019.0,4101.0,797.0,218.0,363.0,2915.0,1013.0,1192.0,12111.0
2025,1104,465.0,1049.0,4510.0,801.0,192.0,435.0,2796.0,1067.0,1134.0,12449.0
2012,1105,75.0,263.0,465.0,82.0,45.0,51.0,368.0,194.0,260.0,1803.0
2013,1105,93.0,246.0,495.0,89.0,54.0,44.0,373.0,234.0,218.0,1846.0
2014,1105,79.0,244.0,479.0,78.0,53.0,35.0,383.0,210.0,236.0,1797.0
2015,1105,75.0,205.0,512.0,69.0,51.0,44.0,347.0,241.0,222.0,1766.0
2016,1105,77.0,232.0,564.0,74.0,49.0,42.0,444.0,240.0,221.0,1943.0
2017,1105,86.0,210.0,605.0,93.0,59.0,54.0,461.0,252.0,226.0,2046.0
2018,1105,94.0,226.0,713.0,108.0,36.0,50.0,537.0,259.0,233.0,2256.0
2019,1105,138.0,256.0,731.0,122.0,66.0,74.0,613.0,307.0,323.0,2630.0
2020,1105,134.0,274.0,805.0,121.0,52.0,72.0,632.0,271.0,292.0,2653.0
2021,1105,159.0,265.0,866.0,170.0,74.0,134.0,697.0,300.0,378.0,3043.0
2022,1105,181.0,269.0,729.0,192.0,90.0,131.0,912.0,308.0,392.0,3204.0
2023,1105,218.0,222.0,676.0,212.0,63.0,111.0,896.0,336.0,394.0,3128.0
2024,1105,247.0,258.0,728.0,240.0,73.0,148.0,848.0,336.0,387.0,3265.0
2025,1105,260.0,261.0,803.0,205.0,73.0,155.0,855.0,350.0,419.0,3381.0
2012,1106,145.0,630.0,1245.0,324.0,129.0,115.0,899.0,411.0,514.0,4412.0
2013,1106,148.0,542.0,1345.0,305.0,134.0,107.0,892.0,466.0,443.0,4382.0
2014,1106,186.0,601.0,1330.0,279.0,145.0,91.0,931.0,433.0,488.0,4484.0
2015,1106,168.0,522.0,1466.0,250.0,131.0,116.0,970.0,514.0,417.0,4554.0
2016,1106,136.0,471.0,1639.0,297.0,142.0,106.0,1063.0,518.0,476.0,4848.0
2017,1106,160.0,614.0,1879.0,289.0,146.0,150.0,1189.0,528.0,484.0,5439.0
2018,1106,184.0,519.0,2155.0,396.0,162.0,143.0,1445.0,580.0,565.0,6149.0
2019,1106,236.0,609.0,2880.0,471.0,189.0,210.0,1786.0,681.0,699.0,7761.0
2020,1106,245.0,630.0,3601.0,457.0,184.0,211.0,1643.0,588.0,610.0,8169.0
2021,1106,294.0,647.0,4024.0,558.0,250.0,234.0,1948.0,801.0,817.0,9573.0
2022,1106,304.0,681.0,2918.0,699.0,313.0,233.0,2556.0,888.0,956.0,9548.0
2023,1106,376.0,752.0,3144.0,978.0,236.0,285.0,2538.0,865.0,967.0,10141.0
2024,1106,386.0,710.0,3167.0,834.0,241.0,349.0,2433.0,903.0,1126.0,10149.0
2025,1106,420.0,732.0,3423.0,814.0,254.0,348.0,2714.0,1045.0,1067.0,10817.0
2012,1107,87.0,308.0,547.0,79.0,41.0,35.0,297.0,137.0,198.0,1729.0
2013,1107,66.0,272.0,529.0,63.0,45.0,38.0,307.0,154.0,191.0,1665.0
2014,1107,84.0,290.0,555.0,64.0,36.0,38.0,309.0,158.0,197.0,1731.0
2015,1107,61.0,208.0,649.0,53.0,43.0,46.0,329.0,177.0,167.0,1733.0
2016,1107,70.0,224.0,731.0,61.0,40.0,44.0,340.0,185.0,159.0,1854.0
2017,1107,88.0,212.0,804.0,92.0,57.0,41.0,429.0,189.0,189.0,2101.0
2018,1107,78.0,271.0,863.0,98.0,65.0,57.0,468.0,183.0,246.0,2329.0
2019,1107,144.0,283.0,1053.0,105.0,56.0,76.0,606.0,201.0,304.0,2828.0
2020,1107,103.0,273.0,1243.0,131.0,70.0,85.0,600.0,208.0,251.0,2964.0
2021,1107,156.0,289.0,1534.0,171.0,80.0,63.0,679.0,280.0,341.0,3593.0
2022,1107,189.0,327.0,1128.0,199.0,92.0,67.0,879.0,340.0,383.0,3604.0
2023,1107,238.0,334.0,1059.0,219.0,98.0,178.0,875.0,263.0,376.0,3640.0
2024,1107,258.0,323.0,1166.0,215.0,84.0,126.0,918.0,287.0,391.0,3768.0
2025,1107,212.0,352.0,1229.0,222.0,68.0,144.0,888.0,315.0,391.0,3821.0
2012,1108,61.0,285.0,423.0,94.0,26.0,57.0,306.0,151.0,214.0,1617.0
2013,1108,56.0,280.0,487.0,75.0,41.0,41.0,300.0,178.0,208.0,1666.0
2014,1108,75.0,303.0,504.0,64.0,37.0,35.0,304.0,173.0,190.0,1685.0
2015,1108,75.0,204.0,546.0,62.0,36.0,44.0,305.0,176.0,179.0,1627.0
2016,1108,61.0,246.0,547.0,76.0,42.0,65.0,340.0,190.0,185.0,1752.0
