target_year,ZE2020,node_idx,libze2020,flores_total_establishments_t_minus_1,flores_etab_az_t_minus_1,flores_etab_de_t_minus_1,flores_etab_c1_t_minus_1,flores_etab_c2_t_minus_1,flores_etab_c3_t_minus_1,flores_etab_c4_t_minus_1,flores_etab_c5_t_minus_1,flores_etab_fz_t_minus_1,flores_etab_gz_t_minus_1,flores_etab_hz_t_minus_1,flores_etab_iz_t_minus_1,flores_etab_jz_t_minus_1,flores_etab_kz_t_minus_1,flores_etab_lz_t_minus_1,flores_etab_mn_t_minus_1,flores_etab_oq_t_minus_1,flores_etab_ru_t_minus_1,flores_total_salaried_jobs_t_minus_1,flores_herfindahl_t_minus_1,flores_dominant_sector_weight_t_minus_1,flores_growth_etab_1y_t_minus_1,side_stock_total_t_minus_1,side_stock_be_t_minus_1,side_stock_fz_t_minus_1,side_stock_gi_t_minus_1,side_stock_jz_t_minus_1,side_stock_kz_t_minus_1,side_stock_lz_t_minus_1,side_stock_mn_t_minus_1,side_stock_oq_t_minus_1,side_stock_ru_t_minus_1,side_stock_growth_1y_t_minus_1,urssaf_employer_establishments_t_minus_1,urssaf_salaried_employees_t_minus_1,urssaf_payroll_t_minus_1,urssaf_employer_growth_1y_t_minus_1,urssaf_wage_per_employee_t_minus_1,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,side_enterprise_creations_official,side_establishment_creations_official,communes_count,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,is_covid_year,is_post_covid_rebound,fr_climat_affaires_t_minus_1,fr_climat_emploi_t_minus_1,fr_bdf_conj_services_climate_t_minus_1,fr_bdf_gstix_comp_t_minus_1
2022,51,0,Alençon,4331.0,566.0,48.0,113.0,0.0,13.0,9.0,112.0,473.0,772.0,82.0,274.0,47.0,162.0,59.0,401.0,821.0,379.0,43615.0,0.1204929041680845,0.1895636111752482,0.0109710550887021,7624.0,632.0,1018.0,2092.0,135.0,393.0,481.0,1043.0,1028.0,802.0,0.0494150034411562,2895.0,28481.0,705550917.0,0.0168598524762908,24772.68765141673,1,1,1,1,1067,1208,184,1149.0,1009.0,977.0,0.051348999129678,0.1972249752229931,0,0,86.38333333333333,82.05833333333334,88.45,2.9839558333333334
2023,51,0,Alençon,4403.0,590.0,47.0,115.0,0.0,13.0,11.0,111.0,477.0,780.0,80.0,285.0,46.0,160.0,57.0,410.0,827.0,394.0,43793.0,0.1205962899059851,0.187826481944129,0.0166243361810205,7912.0,656.0,1031.0,2144.0,156.0,419.0,483.0,1135.0,1032.0,856.0,0.0377754459601258,2929.0,28861.0,749897414.0,0.0117443868739206,25983.07106475867,1,1,1,1,1082,1220,184,1208.0,1149.0,1009.0,0.009933774834437,0.0617928633594428,0,0,109.55833333333334,106.97500000000001,101.25166666666667,0.11866666666666666
2024,51,0,Alençon,4407.0,612.0,49.0,115.0,0.0,13.0,10.0,116.0,475.0,778.0,82.0,283.0,42.0,158.0,54.0,414.0,810.0,396.0,44521.0,0.1202561636244172,0.1837985023825731,0.0009084714967066,7825.0,652.0,1037.0,2101.0,164.0,446.0,332.0,1194.0,1021.0,878.0,-0.0109959555106168,2905.0,28898.0,787307727.0,-0.0081939228405598,27244.367326458578,1,1,1,1,1192,1377,184,1220.0,1208.0,1149.0,0.1286885245901639,0.1399006622516556,0,0,103.8,102.7,98.26833333333333,-1.2097208333333334
2025,51,0,Alençon,4394.0,613.0,52.0,107.0,0.0,13.0,9.0,112.0,457.0,755.0,84.0,285.0,44.0,160.0,60.0,418.0,824.0,401.0,44490.0,0.1199295435141518,0.1875284478834774,-0.0029498525073746,,,,,,,,,,,,2872.0,28744.0,802419786.0,-0.0113597246127367,27916.079390481493,1,0,1,1,1222,1448,184,1377.0,1220.0,1208.0,0.0515613652868554,0.1868852459016392,0,0,105.75833333333333,110.86666666666667,106.92916666666667,1.3715908333333333
2012,52,1,Arles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4278.0,29697.0,659170065.0,-0.0007007708479327,22196.52035559148,0,0,1,1,1511,1832,20,,,,,,0,0,89.825,90.01666666666667,90.96,-0.21511166666666667
2013,52,1,Arles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4323.0,30326.0,690395436.0,0.0105189340813465,22765.792916968938,0,0,1,1,1437,1649,20,1832.0,,,-0.0998908296943231,,0,0,100.15833333333335,97.93333333333334,95.59500000000001,-0.90984
2014,52,1,Arles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4373.0,30224.0,697452438.0,0.0115660421003931,23076.11295659079,0,0,1,1,1448,1552,20,1649.0,1832.0,,-0.0588235294117647,-0.1528384279475982,0,0,90.99166666666667,93.85833333333333,92.60916666666667,-1.967465
2015,52,1,Arles,,,,,,,,,,,,,,,,,,,,,,,11276.0,805.0,1479.0,3656.0,211.0,358.0,686.0,1590.0,1422.0,1069.0,,4370.0,30269.0,711267318.0,-0.0006860278984678,23498.20998381182,0,1,1,1,1372,1547,20,1552.0,1649.0,1832.0,-0.003221649484536,-0.0618556701030927,0,0,107.08333333333333,101.77499999999999,98.13333333333333,4.810215
2016,52,1,Arles,,,,,,,,,,,,,,,,,,,,,,,11566.0,859.0,1455.0,3669.0,216.0,389.0,688.0,1669.0,1534.0,1087.0,0.0257183398368214,4347.0,30431.0,726723900.0,-0.0052631578947368,23881.03907199895,0,1,1,1,1453,1660,20,1547.0,1552.0,1649.0,0.0730446024563671,0.0695876288659793,0,0,103.89166666666667,105.95833333333333,100.53333333333335,-1.8016266666666665
2017,52,1,Arles,,,,,,,,,,,,,,,,,,,,,,,11842.0,876.0,1499.0,3745.0,221.0,405.0,683.0,1720.0,1578.0,1115.0,0.0238630468614906,4358.0,30629.0,742081198.0,0.0025304807913504,24228.05831075125,0,1,1,1,1484,1677,20,1660.0,1547.0,1552.0,0.0102409638554217,0.084033613445378,0,0,109.06666666666666,108.60000000000001,103.06,0.7678016666666667
2018,52,1,Arles,5733.0,660.0,44.0,129.0,0.0,8.0,2.0,194.0,551.0,1165.0,135.0,723.0,73.0,185.0,150.0,594.0,587.0,533.0,41827.0,0.1137060315500922,0.2032094889237746,,12020.0,857.0,1505.0,3796.0,211.0,440.0,687.0,1758.0,1633.0,1133.0,0.0150312447221752,4288.0,30984.0,775478299.0,-0.0160624139513538,25028.34685644204,1,1,1,1,1604,1788,20,1677.0,1660.0,1547.0,0.0661896243291593,0.0771084337349397,0,0,94.47500000000001,94.47500000000001,93.48166666666667,-0.14577666666666667
2019,52,1,Arles,5753.0,668.0,41.0,133.0,0.0,6.0,3.0,191.0,552.0,1155.0,142.0,758.0,72.0,184.0,157.0,611.0,563.0,517.0,40949.0,0.1135101060038386,0.2007648183556405,0.0034885749171462,12532.0,909.0,1500.0,3840.0,231.0,470.0,733.0,1918.0,1725.0,1206.0,0.0425956738768718,4300.0,31674.0,807795894.0,0.0027985074626866,25503.437961735177,1,1,1,1,1782,2080,20,1788.0,1677.0,1660.0,0.1633109619686801,0.2403100775193798,0,0,97.90833333333335,99.55,96.01916666666666,0.3071808333333334
2020,52,1,Arles,5991.0,715.0,43.0,132.0,0.0,6.0,4.0,196.0,572.0,1199.0,149.0,794.0,72.0,197.0,166.0,636.0,572.0,538.0,42879.0,0.1136479381064586,0.200133533633784,0.0413697201460108,13029.0,943.0,1548.0,3948.0,237.0,489.0,768.0,2038.0,1774.0,1284.0,0.0396584743057772,4325.0,32574.0,847231356.0,0.0058139534883721,26009.435623503407,1,1,1,1,1896,2104,20,2080.0,1788.0,1677.0,0.0115384615384614,0.1767337807606264,1,0,100.93333333333334,106.05,100.54666666666667,-3.6309883333333333
2021,52,1,Arles,6022.0,733.0,57.0,127.0,0.0,9.0,3.0,192.0,581.0,1217.0,152.0,786.0,73.0,200.0,166.0,631.0,575.0,520.0,42991.0,0.1137543277880363,0.2020923281301893,0.0051744283091303,13451.0,977.0,1570.0,4041.0,243.0,522.0,791.0,2154.0,1817.0,1336.0,0.0323892854401719,4346.0,31936.0,780830662.0,0.0048554913294798,24449.857903306613,1,1,1,1,2304,2615,20,2104.0,2080.0,1788.0,0.24287072243346,0.2572115384615385,0,1,106.59166666666665,107.65833333333335,100.94,0.20732333333333333
2022,52,1,Arles,6283.0,758.0,60.0,139.0,0.0,9.0,3.0,208.0,606.0,1280.0,169.0,808.0,81.0,204.0,163.0,696.0,567.0,532.0,44651.0,0.1137796350595926,0.203724335508515,0.0433410826967783,14444.0,1059.0,1676.0,4259.0,300.0,570.0,805.0,2394.0,1917.0,1464.0,0.0738235075459072,4569.0,33954.0,885742473.0,0.0513115508513575,26086.542763739177,1,1,1,1,2359,2667,20,2615.0,2104.0,2080.0,0.019885277246654,0.2675855513307985,0,0,86.38333333333333,82.05833333333334,88.45,2.9839558333333334
2023,52,1,Arles,6367.0,762.0,62.0,147.0,0.0,9.0,3.0,209.0,624.0,1297.0,175.0,826.0,83.0,203.0,156.0,718.0,560.0,533.0,45117.0,0.1139652296106566,0.2037066122192555,0.0133694095177463,15183.0,1120.0,1737.0,4350.0,321.0,625.0,852.0,2610.0,1932.0,1636.0,0.0511631127111602,4689.0,35300.0,985017239.0,0.0262639527248851,27904.17107648725,1,1,1,1,2358,2619,20,2667.0,2615.0,2104.0,-0.0179977502812148,0.0015296367112811,0,0,109.55833333333334,106.97500000000001,101.25166666666667,0.11866666666666666
2024,52,1,Arles,6483.0,762.0,61.0,147.0,0.0,9.0,2.0,206.0,623.0,1311.0,191.0,846.0,78.0,222.0,168.0,724.0,586.0,547.0,46358.0,0.1132047463377265,0.2022211938917168,0.0182189414166797,15582.0,1123.0,1738.0,4388.0,324.0,672.0,785.0,2797.0,2026.0,1729.0,0.0262793914246195,4693.0,35597.0,1045424124.0,0.0008530603540199,29368.321038289745,1,1,1,1,2425,2837,20,2619.0,2667.0,2615.0,0.0832378770523101,0.0637420322459692,0,0,103.8,102.7,98.26833333333333,-1.2097208333333334
2025,52,1,Arles,6520.0,768.0,61.0,141.0,0.0,10.0,2.0,195.0,627.0,1291.0,199.0,851.0,81.0,228.0,182.0,742.0,593.0,549.0,46709.0,0.1122184218450073,0.1980061349693251,0.0057072343051056,,,,,,,,,,,,4697.0,35585.0,1071592355.0,0.0008523332623056,30113.597161725447,1,0,1,1,2495,2892,20,2837.0,2619.0,2667.0,0.019386676066267,0.1042382588774342,0,0,105.75833333333333,110.86666666666667,106.92916666666667,1.3715908333333333
2012,53,2,Avignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9172.0,80312.0,1937859640.0,0.0002181025081788,24129.14184679749,0,0,1,1,3330,3762,36,,,,,,0,0,89.825,90.01666666666667,90.96,-0.21511166666666667
2013,53,2,Avignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9256.0,79829.0,1969028573.0,0.0091583078935892,24665.57983940673,0,0,1,1,3115,3434,36,3762.0,,,-0.0871876661350345,,0,0,100.15833333333335,97.93333333333334,95.59500000000001,-0.90984
2014,53,2,Avignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9268.0,79299.0,1988542815.0,0.001296456352636,25076.518178035032,0,0,1,1,3225,3563,36,3434.0,3762.0,,0.0375655212580081,-0.0528973950026581,0,0,90.99166666666667,93.85833333333333,92.60916666666667,-1.967465
2015,53,2,Avignon,,,,,,,,,,,,,,,,,,,,,,,23224.0,1426.0,3126.0,6910.0,494.0,973.0,1278.0,3697.0,3291.0,2029.0,,9291.0,78888.0,2010830646.0,0.0024816573154942,25489.68976270156,0,1,1,1,2997,3435,36,3563.0,3434.0,3762.0,-0.0359247824866685,0.0002912055911472,0,0,107.08333333333333,101.77499999999999,98.13333333333333,4.810215
2016,53,2,Avignon,,,,,,,,,,,,,,,,,,,,,,,23733.0,1441.0,3155.0,7058.0,498.0,1020.0,1226.0,3800.0,3432.0,2103.0,0.0219169824319669,9241.0,78671.0,2041324315.0,-0.0053815520396082,25947.60858512031,0,1,1,1,2986,3432,36,3435.0,3563.0,3434.0,-0.0008733624454148,-0.0367667695761998,0,0,103.89166666666667,105.95833333333333,100.53333333333335,-1.8016266666666665
2017,53,2,Avignon,,,,,,,,,,,,,,,,,,,,,,,24134.0,1448.0,3173.0,7142.0,517.0,1061.0,1220.0,3837.0,3579.0,2157.0,0.0168963047233809,9216.0,79327.0,2085817328.0,-0.002705334920463,26293.91415281052,0,1,1,1,3229,3615,36,3432.0,3435.0,3563.0,0.0533216783216783,0.0524017467248907,0,0,109.06666666666666,108.60000000000001,103.06,0.7678016666666667
2018,53,2,Avignon,11130.0,584.0,71.0,226.0,0.0,30.0,10.0,343.0,1257.0,2499.0,396.0,926.0,205.0,496.0,240.0,1509.0,1210.0,1128.0,114037.0,0.118782194258978,0.2245283018867924,,24533.0,1477.0,3199.0,7138.0,538.0,1121.0,1248.0,3950.0,3686.0,2176.0,0.016532692467059,9197.0,81108.0,2163925821.0,-0.0020616319444444,26679.56084479953,1,1,1,1,3716,4169,36,3615.0,3432.0,3435.0,0.153250345781466,0.2147435897435896,0,0,94.47500000000001,94.47500000000001,93.48166666666667,-0.14577666666666667
2019,53,2,Avignon,11081.0,567.0,70.0,212.0,0.0,33.0,11.0,333.0,1296.0,2495.0,399.0,964.0,194.0,481.0,230.0,1506.0,1202.0,1088.0,112478.0,0.1196776872399375,0.225160184098908,-0.0044025157232704,25764.0,1484.0,3392.0,7466.0,582.0,1214.0,1255.0,4215.0,3845.0,2311.0,0.0501773121917417,9206.0,82114.0,2237938663.0,0.0009785799717298,27254.04514455513,1,1,1,1,4325,4765,36,4169.0,3615.0,3432.0,0.1429599424322378,0.318118948824343,0,0,97.90833333333335,99.55,96.01916666666666,0.3071808333333334
2020,53,2,Avignon,11611.0,630.0,74.0,212.0,0.0,37.0,10.0,336.0,1424.0,2580.0,433.0,1022.0,204.0,508.0,231.0,1574.0,1226.0,1110.0,113775.0,0.1190037369714084,0.2222030832830936,0.0478296182654995,27005.0,1567.0,3540.0,7684.0,627.0,1245.0,1254.0,4547.0,4050.0,2491.0,0.0481679863375252,9319.0,82838.0,2296266039.0,0.0122746035194438,27719.95990970328,1,1,1,1,4440,4871,36,4765.0,4169.0,3615.0,0.0222455403987407,0.1683857040057568,1,0,100.93333333333334,106.05,100.54666666666667,-3.6309883333333333
2021,53,2,Avignon,11602.0,629.0,76.0,217.0,0.0,39.0,10.0,336.0,1439.0,2532.0,420.0,999.0,201.0,492.0,232.0,1612.0,1242.0,1126.0,115093.0,0.1186009099537344,0.2182382347871056,-0.0007751270347085,27850.0,1650.0,3682.0,7799.0,660.0,1261.0,1323.0,4810.0,4071.0,2594.0,0.0312905017589335,9362.0,82076.0,2157206201.0,0.0046142289945272,26283.03281105317,1,1,1,1,5321,5818,36,4871.0,4765.0,4169.0,0.1944159310203244,0.2209863588667366,0,1,106.59166666666665,107.65833333333335,100.94,0.20732333333333333
2022,53,2,Avignon,12006.0,628.0,84.0,217.0,0.0,39.0,12.0,342.0,1534.0,2618.0,462.0,1066.0,212.0,497.0,233.0,1665.0,1267.0,1130.0,118521.0,0.1188026537566909,0.2180576378477428,0.0348215824857782,30217.0,1791.0,3943.0,8397.0,740.0,1341.0,1421.0,5409.0,4329.0,2846.0,0.0849910233393178,9737.0,85562.0,2385338433.0,0.0400555436872462,27878.479149622497,1,1,1,1,5362,5945,36,5818.0,4871.0,4765.0,0.0218288071502235,0.2204886060357216,0,0,86.38333333333333,82.05833333333334,88.45,2.9839558333333334
2023,53,2,Avignon,12157.0,632.0,80.0,229.0,0.0,38.0,15.0,334.0,1607.0,2608.0,475.0,1066.0,220.0,502.0,253.0,1674.0,1287.0,1137.0,119149.0,0.1179585799291005,0.2145266101834334,0.0125770448109279,31530.0,1872.0,4080.0,8453.0,788.0,1434.0,1448.0,5854.0,4488.0,3113.0,0.0434523612535988,9926.0,87978.0,2572806465.0,0.0194104960460099,29243.74803928255,1,1,1,1,5239,5770,36,5945.0,5818.0,4871.0,-0.0294365012615643,-0.0082502578205568,0,0,109.55833333333334,106.97500000000001,101.25166666666667,0.11866666666666666
2024,53,2,Avignon,12283.0,621.0,84.0,233.0,0.0,37.0,12.0,324.0,1584.0,2636.0,488.0,1092.0,210.0,516.0,257.0,1707.0,1307.0,1175.0,120635.0,0.1181183552114798,0.2146055523894814,0.0103643991116229,32075.0,1973.0,4143.0,8423.0,803.0,1500.0,1383.0,6137.0,4480.0,3233.0,0.0172851252775134,9869.0,88064.0,2701099404.0,-0.0057424944589965,30672.004496729653,1,1,1,1,5706,6463,36,5770.0,5945.0,5818.0,0.120103986135182,0.0871320437342304,0,0,103.8,102.7,98.26833333333333,-1.2097208333333334
2025,53,2,Avignon,12256.0,619.0,86.0,243.0,0.0,39.0,11.0,331.0,1468.0,2653.0,505.0,1100.0,210.0,525.0,249.0,1719.0,1303.0,1195.0,120182.0,0.1177141509843955,0.2164654046997389,-0.0021981600586176,,,,,,,,,,,,9811.0,87960.0,2770962892.0,-0.005876988550005,31502.534015461573,1,0,1,1,5732,6543,36,6463.0,5770.0,5945.0,0.0123781525607302,0.1339688041594453,0,0,105.75833333333333,110.86666666666667,106.92916666666667,1.3715908333333333
2012,54,3,Beauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5719.0,65545.0,1637911952.0,0.0107811947684695,24989.121244946225,0,0,1,1,1747,1923,327,,,,,,0,0,89.825,90.01666666666667,90.96,-0.21511166666666667
2013,54,3,Beauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5708.0,65237.0,1669180408.0,-0.0019234131841231,25586.406609746,0,0,1,1,1681,1851,327,1923.0,,,-0.0374414976599063,,0,0,100.15833333333335,97.93333333333334,95.59500000000001,-0.90984
2014,54,3,Beauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5624.0,63506.0,1643462442.0,-0.0147161878065872,25878.85305325481,0,0,1,1,1773,1949,327,1851.0,1923.0,,0.0529443544030254,0.0135205408216327,0,0,90.99166666666667,93.85833333333333,92.60916666666667,-1.967465
2015,54,3,Beauvais,,,,,,,,,,,,,,,,,,,,,,,13149.0,1042.0,2281.0,3813.0,273.0,523.0,771.0,1802.0,1424.0,1220.0,,5611.0,63255.0,1662020682.0,-0.0023115220483641,26274.92976049324,0,1,1,1,1720,1931,327,1949.0,1851.0,1923.0,-0.0092355053873781,0.0432198811453268,0,0,107.08333333333333,101.77499999999999,98.13333333333333,4.810215
2016,54,3,Beauvais,,,,,,,,,,,,,,,,,,,,,,,13408.0,1069.0,2261.0,3925.0,269.0,533.0,763.0,1857.0,1495.0,1236.0,0.0196973153852004,5600.0,62274.0,1668772908.0,-0.0019604348600962,26797.265439830426,0,1,1,1,1795,2036,327,1931.0,1949.0,1851.0,0.0543759709994822,0.0446382760389942,0,0,103.89166666666667,105.95833333333333,100.53333333333335,-1.8016266666666665
2017,54,3,Beauvais,,,,,,,,,,,,,,,,,,,,,,,13714.0,1073.0,2264.0,3993.0,266.0,557.0,775.0,1916.0,1615.0,1255.0,0.0228221957040573,5611.0,61996.0,1688635670.0,0.0019642857142856,27237.81647203045,0,1,1,1,1929,2163,327,2036.0,1931.0,1949.0,0.0623772102161099,0.120145002589332,0,0,109.06666666666666,108.60000000000001,103.06,0.7678016666666667
2018,54,3,Beauvais,7504.0,531.0,76.0,159.0,0.0,42.0,11.0,301.0,973.0,1388.0,258.0,466.0,82.0,258.0,138.0,807.0,1357.0,657.0,85670.0,0.116838467955683,0.1849680170575693,,14012.0,1087.0,2303.0,4017.0,267.0,596.0,804.0,2002.0,1619.0,1317.0,0.0217296193670701,5543.0,62260.0,1726710986.0,-0.0121190518624131,27733.873851590102,1,1,1,1,2095,2287,327,2163.0,2036.0,1931.0,0.0573277854831253,0.1232809430255403,0,0,94.47500000000001,94.47500000000001,93.48166666666667,-0.14577666666666667
2019,54,3,Beauvais,7492.0,515.0,75.0,152.0,0.0,41.0,12.0,297.0,974.0,1376.0,267.0,493.0,80.0,241.0,134.0,839.0,1355.0,641.0,86033.0,0.1171144575926369,0.183662573411639,-0.0015991471215351,14510.0,1113.0,2347.0,4056.0,283.0,639.0,823.0,2113.0,1756.0,1380.0,0.0355409648872395,5541.0,62946.0,1776246797.0,-0.000360815442901,28218.580958281706,1,1,1,1,2350,2566,327,2287.0,2163.0,2036.0,0.1219938784433756,0.1863153028201571,0,0,97.90833333333335,99.55,96.01916666666666,0.3071808333333334
2020,54,3,Beauvais,7728.0,588.0,72.0,160.0,0.0,40.0,14.0,295.0,995.0,1387.0,267.0,519.0,85.0,265.0,142.0,862.0,1368.0,669.0,87718.0,0.1151910157572796,0.1794772256728778,0.0315002669514148,15169.0,1146.0,2420.0,4184.0,293.0,662.0,859.0,2259.0,1827.0,1519.0,0.0454169538249482,5572.0,63711.0,1814877015.0,0.0055946580039702,28486.085840749634,1,1,1,1,2425,2624,327,2566.0,2287.0,2163.0,0.0226032735775525,0.1473546130301706,1,0,100.93333333333334,106.05,100.54666666666667,-3.6309883333333333
2021,54,3,Beauvais,7711.0,597.0,75.0,156.0,0.0,40.0,16.0,292.0,1007.0,1400.0,272.0,523.0,83.0,231.0,136.0,857.0,1375.0,651.0,86592.0,0.1164266526802326,0.1815588120866295,-0.0021997929606625,15606.0,1176.0,2477.0,4260.0,321.0,672.0,893.0,2427.0,1885.0,1495.0,0.0288087546970796,5539.0,62552.0,1686795583.0,-0.0059224694903087,26966.29337191457,1,1,1,1,3034,3320,327,2624.0,2566.0,2287.0,0.2652439024390243,0.2938425565081839,0,1,106.59166666666665,107.65833333333335,100.94,0.20732333333333333
