ZE2020,flores_total_establishments_t_minus_1,flores_etab_az_t_minus_1,flores_etab_de_t_minus_1,flores_etab_c1_t_minus_1,flores_etab_c2_t_minus_1,flores_etab_c3_t_minus_1,flores_etab_c4_t_minus_1,flores_etab_c5_t_minus_1,flores_etab_fz_t_minus_1,flores_etab_gz_t_minus_1,flores_etab_hz_t_minus_1,flores_etab_iz_t_minus_1,flores_etab_jz_t_minus_1,flores_etab_kz_t_minus_1,flores_etab_lz_t_minus_1,flores_etab_mn_t_minus_1,flores_etab_oq_t_minus_1,flores_etab_ru_t_minus_1,flores_total_salaried_jobs_t_minus_1,source_year,flores_herfindahl_t_minus_1,flores_dominant_sector_weight_t_minus_1,flores_growth_etab_1y_t_minus_1,target_year
0055,2424,184.0,41.0,59.0,0.0,13.0,3.0,126.0,303.0,427.0,80.0,232.0,24.0,105.0,47.0,278.0,281.0,221.0,26643,2018,0.10353185689856115,0.17615511551155116,-0.011822258459029733,2019
0055,2498,203.0,41.0,60.0,0.0,15.0,3.0,118.0,319.0,445.0,87.0,234.0,22.0,107.0,41.0,312.0,271.0,220.0,27158,2019,0.10505730445044587,0.17814251401120898,0.03052805280528048,2020
0055,2498,209.0,39.0,61.0,0.0,15.0,3.0,121.0,316.0,440.0,92.0,231.0,24.0,99.0,35.0,317.0,277.0,219.0,27304,2020,0.10510570185531931,0.17614091273018415,0.0,2021
0055,2597,200.0,38.0,60.0,0.0,14.0,2.0,121.0,342.0,459.0,95.0,254.0,24.0,104.0,41.0,335.0,282.0,226.0,28347,2021,0.10630568223249807,0.17674239507123604,0.03963170536429139,2022
0055,2666,204.0,38.0,64.0,0.0,12.0,2.0,124.0,364.0,472.0,97.0,258.0,21.0,108.0,44.0,337.0,290.0,231.0,28936,2022,0.10678832498822381,0.17704426106526633,0.026569118213322973,2023
0055,2683,205.0,37.0,62.0,,11.0,1.0,126.0,356.0,479.0,98.0,264.0,19.0,104.0,46.0,362.0,288.0,225.0,29595,2023,0.10788639115792219,0.17853149459560194,0.006376594148537196,2024
0056,2530,485.0,29.0,75.0,0.0,6.0,2.0,94.0,234.0,402.0,63.0,176.0,20.0,86.0,28.0,193.0,453.0,184.0,18437,2017,0.12291490259182306,0.191699604743083,,2018
0056,2487,472.0,27.0,68.0,0.0,5.0,3.0,100.0,236.0,386.0,61.0,181.0,18.0,92.0,27.0,180.0,448.0,183.0,17952,2018,0.1221397507489286,0.1897868918375553,-0.016996047430830052,2019
0056,2538,497.0,27.0,73.0,0.0,4.0,3.0,98.0,241.0,396.0,60.0,184.0,18.0,96.0,26.0,188.0,441.0,186.0,18516,2019,0.12259456109530717,0.19582348305752562,0.020506634499396936,2020
0056,2487,495.0,26.0,68.0,0.0,5.0,4.0,94.0,236.0,398.0,54.0,169.0,21.0,86.0,26.0,184.0,437.0,184.0,18272,2020,0.12481033258751699,0.19903498190591074,-0.02009456264775411,2021
0056,2570,508.0,28.0,72.0,0.0,4.0,3.0,94.0,237.0,411.0,55.0,180.0,30.0,90.0,32.0,191.0,444.0,191.0,18353,2021,0.12317067631606834,0.19766536964980544,0.03337354242058699,2022
0056,2602,524.0,28.0,67.0,0.0,4.0,3.0,93.0,241.0,417.0,53.0,184.0,28.0,91.0,31.0,207.0,444.0,187.0,18294,2022,0.12438519178471477,0.2013835511145273,0.012451361867704236,2023
0056,2600,522.0,29.0,68.0,,4.0,4.0,93.0,243.0,408.0,50.0,198.0,27.0,94.0,29.0,208.0,435.0,188.0,18353,2023,0.1230896449704142,0.20076923076923076,-0.000768639508070712,2024
0057,3482,126.0,43.0,83.0,0.0,32.0,6.0,203.0,499.0,700.0,123.0,213.0,41.0,125.0,66.0,378.0,524.0,320.0,33141,2017,0.11612226793015429,0.2010338885697875,,2018
0057,3467,122.0,39.0,78.0,0.0,29.0,6.0,192.0,493.0,675.0,126.0,237.0,48.0,128.0,62.0,382.0,527.0,323.0,32201,2018,0.11492951508096153,0.1946928179982694,-0.004307869040781176,2019
0057,3633,163.0,40.0,80.0,0.0,34.0,6.0,195.0,518.0,714.0,122.0,243.0,47.0,138.0,65.0,403.0,542.0,323.0,33244,2019,0.11454311863852538,0.19653179190751446,0.04788001153735211,2020
0057,3696,162.0,52.0,80.0,0.0,31.0,6.0,181.0,523.0,736.0,126.0,259.0,53.0,138.0,79.0,409.0,535.0,326.0,33575,2020,0.11384455641760836,0.19913419913419914,0.01734104046242768,2021
0057,3773,160.0,49.0,83.0,0.0,30.0,6.0,165.0,547.0,736.0,128.0,280.0,55.0,140.0,84.0,427.0,552.0,331.0,34055,2021,0.11415206277195601,0.19507023588656242,0.02083333333333326,2022
0057,3836,161.0,55.0,86.0,0.0,32.0,7.0,168.0,571.0,766.0,124.0,289.0,61.0,126.0,83.0,432.0,541.0,334.0,34512,2022,0.11516765052230067,0.1996871741397289,0.016697588126159513,2023
0057,3895,162.0,57.0,85.0,,28.0,7.0,166.0,590.0,756.0,131.0,293.0,69.0,133.0,79.0,449.0,545.0,345.0,34687,2023,0.11430308762921425,0.19409499358151477,0.015380604796663144,2024
0058,2335,207.0,30.0,59.0,0.0,19.0,3.0,226.0,200.0,426.0,58.0,179.0,6.0,106.0,44.0,192.0,391.0,189.0,25573,2017,0.10898871561610168,0.18244111349036402,,2018
0058,2281,206.0,28.0,59.0,0.0,19.0,3.0,221.0,190.0,405.0,58.0,179.0,7.0,109.0,41.0,192.0,387.0,177.0,25105,2018,0.10821049782998567,0.17755370451556335,-0.023126338329764407,2019
0058,2335,231.0,22.0,61.0,0.0,21.0,3.0,216.0,191.0,397.0,57.0,194.0,7.0,111.0,42.0,206.0,401.0,175.0,25431,2019,0.10778040157917182,0.17173447537473233,0.023673827268741787,2020
0058,2289,228.0,19.0,60.0,0.0,21.0,3.0,218.0,195.0,387.0,56.0,187.0,7.0,105.0,39.0,195.0,398.0,171.0,24710,2020,0.1084226974183327,0.17387505460899957,-0.01970021413276235,2021
0058,2346,249.0,23.0,57.0,0.0,19.0,3.0,219.0,198.0,410.0,55.0,209.0,6.0,99.0,39.0,198.0,388.0,174.0,25141,2021,0.10892676875042245,0.17476555839727195,0.02490170380078638,2022
0058,2368,249.0,24.0,57.0,0.0,19.0,2.0,218.0,202.0,410.0,52.0,212.0,7.0,100.0,44.0,201.0,387.0,184.0,25358,2022,0.10812059155861943,0.17314189189189189,0.009377664109121886,2023
0058,2393,249.0,22.0,57.0,,18.0,2.0,209.0,212.0,412.0,51.0,215.0,7.0,107.0,43.0,215.0,380.0,194.0,25435,2023,0.10737282389138539,0.17216882574174677,0.010557432432432456,2024
0059,5946,634.0,52.0,152.0,0.0,32.0,17.0,218.0,608.0,1213.0,127.0,462.0,61.0,216.0,85.0,643.0,838.0,588.0,59975,2017,0.11501218105001296,0.20400269088462833,,2018
0059,5920,640.0,48.0,147.0,0.0,32.0,15.0,207.0,596.0,1197.0,126.0,463.0,58.0,224.0,82.0,671.0,832.0,582.0,59327,2018,0.11519967814097883,0.20219594594594595,-0.004372687521022489,2019
0059,6117,663.0,44.0,146.0,0.0,35.0,15.0,216.0,640.0,1200.0,132.0,499.0,64.0,239.0,98.0,708.0,834.0,584.0,60281,2019,0.11319910751302678,0.196174595389897,0.03327702702702706,2020
0059,6061,672.0,48.0,152.0,0.0,33.0,16.0,214.0,652.0,1207.0,131.0,489.0,67.0,219.0,91.0,710.0,787.0,573.0,60516,2020,0.11364679626132833,0.1991420557663752,-0.009154814451528548,2021
0059,6226,653.0,50.0,157.0,0.0,31.0,16.0,218.0,673.0,1252.0,141.0,515.0,63.0,229.0,100.0,746.0,822.0,560.0,61101,2021,0.1140272768858694,0.2010921940250562,0.02722323049001818,2022
0059,6300,654.0,47.0,154.0,0.0,30.0,15.0,224.0,704.0,1247.0,141.0,516.0,68.0,224.0,104.0,778.0,816.0,578.0,61791,2022,0.11369473418997228,0.19793650793650794,0.011885640860905822,2023
0059,6438,656.0,51.0,153.0,,29.0,15.0,225.0,724.0,1262.0,147.0,522.0,78.0,235.0,103.0,798.0,845.0,595.0,63108,2023,0.11329231021039358,0.19602360981671327,0.02190476190476187,2024
0060,4761,410.0,59.0,113.0,1.0,32.0,14.0,169.0,453.0,849.0,132.0,350.0,31.0,193.0,85.0,488.0,895.0,487.0,48745,2017,0.11478471394757192,0.18798571728628438,,2018
0060,4739,404.0,57.0,108.0,2.0,34.0,13.0,155.0,471.0,825.0,133.0,353.0,30.0,219.0,84.0,480.0,895.0,476.0,48002,2018,0.11408634765125719,0.18885840894703523,-0.004620877966813652,2019
0060,4783,444.0,56.0,110.0,2.0,31.0,14.0,152.0,456.0,836.0,137.0,348.0,38.0,222.0,84.0,479.0,905.0,469.0,49068,2019,0.11406840267133637,0.18921179176249217,0.009284659210804014,2020
0060,4708,450.0,57.0,101.0,2.0,32.0,14.0,150.0,457.0,832.0,132.0,343.0,42.0,211.0,84.0,474.0,888.0,439.0,48242,2020,0.11437274106006588,0.18861512319456245,-0.015680535228935866,2021
0060,4766,453.0,57.0,102.0,2.0,30.0,14.0,152.0,478.0,831.0,138.0,336.0,44.0,208.0,90.0,482.0,893.0,456.0,48310,2021,0.11380531668488979,0.1873688627780109,0.012319456244689997,2022
0060,4833,462.0,58.0,101.0,2.0,30.0,14.0,151.0,494.0,827.0,131.0,348.0,44.0,206.0,98.0,489.0,913.0,465.0,48376,2022,0.11388148132735797,0.1889095799710325,0.014057910197230461,2023
0060,4893,473.0,60.0,97.0,2.0,31.0,15.0,153.0,480.0,835.0,138.0,370.0,46.0,203.0,93.0,504.0,912.0,481.0,49026,2023,0.11335993072098519,0.1863887185775598,0.012414649286157653,2024
0061,2056,241.0,33.0,64.0,0.0,14.0,4.0,106.0,228.0,331.0,59.0,122.0,27.0,65.0,39.0,203.0,338.0,182.0,17133,2017,0.10637840845432936,0.16439688715953307,,2018
0061,2039,247.0,31.0,60.0,0.0,14.0,4.0,103.0,223.0,333.0,57.0,127.0,24.0,64.0,34.0,203.0,333.0,182.0,17115,2018,0.10762110401847641,0.16331535066208927,-0.008268482490272344,2019
0061,2089,269.0,30.0,58.0,0.0,15.0,5.0,100.0,236.0,336.0,55.0,136.0,25.0,72.0,35.0,207.0,331.0,179.0,17592,2019,0.1073513933914019,0.16084250837721398,0.02452182442373707,2020
0061,2105,264.0,31.0,59.0,0.0,14.0,4.0,103.0,242.0,338.0,54.0,141.0,24.0,69.0,41.0,211.0,327.0,183.0,17478,2020,0.10663920876095259,0.16057007125890738,0.0076591670655816735,2021
0061,2131,275.0,29.0,59.0,0.0,14.0,3.0,105.0,240.0,343.0,57.0,146.0,24.0,67.0,44.0,214.0,326.0,185.0,17398,2021,0.10664431408619957,0.16095729704364148,0.01235154394299287,2022
0061,2158,280.0,30.0,59.0,0.0,13.0,3.0,102.0,243.0,346.0,52.0,159.0,27.0,65.0,46.0,222.0,328.0,183.0,17576,2022,0.10683784542891031,0.1603336422613531,0.012670107930549124,2023
0061,2148,290.0,29.0,59.0,,10.0,3.0,102.0,248.0,345.0,50.0,153.0,27.0,70.0,40.0,213.0,329.0,180.0,17429,2023,0.10806726797956787,0.16061452513966482,-0.004633920296570948,2024
0062,2266,223.0,20.0,66.0,0.0,7.0,4.0,102.0,292.0,419.0,56.0,177.0,15.0,84.0,24.0,216.0,332.0,229.0,31088,2017,0.11245363947186583,0.1849073256840247,,2018
0062,2275,243.0,19.0,60.0,0.0,7.0,3.0,101.0,295.0,412.0,57.0,179.0,17.0,91.0,27.0,212.0,317.0,235.0,32212,2018,0.11115275932858353,0.1810989010989011,0.003971756398940762,2019
0062,2322,255.0,17.0,62.0,0.0,5.0,3.0,103.0,303.0,437.0,55.0,179.0,16.0,91.0,27.0,217.0,318.0,234.0,33686,2019,0.11311493774486783,0.18819982773471144,0.02065934065934072,2020
0062,2345,269.0,13.0,65.0,0.0,5.0,5.0,105.0,323.0,424.0,59.0,174.0,17.0,87.0,28.0,222.0,315.0,234.0,34900,2020,0.11231063688562971,0.18081023454157782,0.009905254091300497,2021
0062,2391,282.0,15.0,64.0,0.0,4.0,6.0,109.0,338.0,428.0,60.0,182.0,20.0,86.0,31.0,234.0,306.0,226.0,34637,2021,0.11162642706748663,0.17900460058552906,0.019616204690831474,2022
0062,2434,297.0,13.0,62.0,0.0,6.0,6.0,103.0,340.0,420.0,58.0,198.0,21.0,82.0,32.0,250.0,305.0,241.0,33336,2022,0.11128061851786085,0.1725554642563681,0.017984107068172328,2023
0062,2480,313.0,13.0,58.0,,8.0,6.0,101.0,355.0,414.0,62.0,192.0,21.0,82.0,30.0,264.0,313.0,248.0,23687,2023,0.11172704214360041,0.16693548387096774,0.01889893179950697,2024
0063,3019,296.0,52.0,99.0,0.0,3.0,2.0,105.0,364.0,567.0,85.0,254.0,20.0,104.0,27.0,203.0,643.0,195.0,21433,2017,0.12524333850721955,0.212984431931103,,2018
0063,2980,311.0,53.0,94.0,0.0,3.0,1.0,104.0,350.0,537.0,90.0,265.0,23.0,118.0,25.0,193.0,633.0,180.0,20948,2018,0.1231703526868159,0.21241610738255035,-0.012918184829413759,2019
0063,3026,329.0,54.0,99.0,0.0,4.0,1.0,102.0,346.0,540.0,92.0,274.0,25.0,121.0,25.0,204.0,629.0,181.0,21705,2019,0.12145717507095369,0.20786516853932585,0.01543624161073831,2020
0063,2994,347.0,52.0,98.0,0.0,3.0,1.0,108.0,335.0,543.0,90.0,248.0,21.0,114.0,31.0,207.0,616.0,180.0,21537,2020,0.12161620055965863,0.20574482297929192,-0.010575016523463265,2021
0063,3080,361.0,55.0,100.0,0.0,4.0,2.0,108.0,341.0,546.0,98.0,276.0,21.0,116.0,32.0,221.0,613.0,186.0,21457,2021,0.11904768932366334,0.19902597402597402,0.02872411489645965,2022
0063,3105,367.0,57.0,102.0,0.0,4.0,4.0,108.0,341.0,550.0,94.0,283.0,20.0,115.0,34.0,225.0,617.0,184.0,22187,2022,0.11904284036189097,0.19871175523349435,0.008116883116883189,2023
0063,3110,357.0,56.0,100.0,,4.0,3.0,110.0,345.0,551.0,89.0,278.0,21.0,115.0,42.0,227.0,628.0,184.0,22255,2023,0.11949214751708524,0.20192926045016077,0.0016103059581320522,2024
0064,2753,377.0,21.0,96.0,0.0,5.0,1.0,78.0,275.0,510.0,48.0,346.0,26.0,77.0,54.0,224.0,382.0,233.0,14577,2017,0.11552315084993303,0.18525245187068654,,2018
0064,2758,363.0,20.0,97.0,0.0,4.0,1.0,74.0,284.0,515.0,51.0,355.0,22.0,87.0,56.0,232.0,382.0,215.0,14778,2018,0.115523908035218,0.18672951414068165,0.0018162005085360367,2019
0064,2959,511.0,20.0,96.0,0.0,4.0,2.0,79.0,296.0,521.0,53.0,365.0,23.0,96.0,54.0,234.0,384.0,221.0,15233,2019,0.1183006781539894,0.17607299763433593,0.0728788977519943,2020
0064,2949,508.0,19.0,98.0,0.0,5.0,2.0,79.0,305.0,518.0,54.0,350.0,23.0,88.0,61.0,241.0,385.0,213.0,15006,2020,0.11783143782266198,0.17565276364869448,-0.0033795201081446846,2021
0064,3011,497.0,21.0,104.0,0.0,5.0,1.0,85.0,303.0,528.0,49.0,385.0,30.0,93.0,56.0,258.0,373.0,223.0,15277,2021,0.1163499803278602,0.17535702424443705,0.02102407595795186,2022
0064,3075,497.0,22.0,100.0,0.0,5.0,1.0,83.0,324.0,539.0,47.0,400.0,30.0,89.0,55.0,273.0,380.0,230.0,15397,2022,0.11694509881684181,0.17528455284552846,0.02125539687811351,2023
0064,3071,483.0,21.0,103.0,,5.0,1.0,85.0,321.0,549.0,47.0,400.0,31.0,89.0,59.0,263.0,384.0,230.0,15366,2023,0.11664979507564435,0.1787691305763595,-0.0013008130081301195,2024
0101,344,5.0,3.0,14.0,0.0,0.0,0.0,8.0,38.0,50.0,23.0,67.0,2.0,6.0,7.0,22.0,75.0,24.0,3165,2017,0.13546173607355327,0.2180232558139535,,2018
0101,337,5.0,3.0,12.0,0.0,0.0,0.0,6.0,37.0,54.0,22.0,59.0,3.0,5.0,6.0,26.0,73.0,26.0,3084,2018,0.1339714182567426,0.2166172106824926,-0.02034883720930236,2019
0101,376,6.0,3.0,14.0,0.0,0.0,0.0,5.0,49.0,52.0,25.0,78.0,4.0,5.0,5.0,27.0,74.0,29.0,3238,2019,0.1357514712539611,0.2074468085106383,0.11572700296735916,2020
0101,393,6.0,2.0,15.0,0.0,0.0,0.0,9.0,56.0,55.0,24.0,87.0,3.0,3.0,4.0,25.0,73.0,31.0,3071,2020,0.1398584646064397,0.22137404580152673,0.04521276595744683,2021
0101,419,12.0,2.0,16.0,0.0,0.0,0.0,11.0,59.0,58.0,22.0,93.0,3.0,2.0,7.0,29.0,71.0,34.0,3138,2021,0.13444329891035023,0.22195704057279236,0.0661577608142494,2022
0101,442,15.0,2.0,18.0,0.0,0.0,0.0,10.0,59.0,63.0,23.0,104.0,3.0,3.0,6.0,28.0,72.0,36.0,3290,2022,0.1370057943121558,0.23529411764705882,0.054892601431980825,2023
0101,464,13.0,2.0,26.0,,,,11.0,60.0,64.0,23.0,109.0,3.0,3.0,7.0,29.0,74.0,40.0,3433,2023,0.13497696195005948,0.2349137931034483,0.04977375565610864,2024
0102,1296,56.0,12.0,65.0,0.0,2.0,0.0,50.0,124.0,299.0,90.0,118.0,9.0,33.0,18.0,139.0,195.0,86.0,8956,2017,0.120888345907636,0.23070987654320987,,2018
0102,1302,54.0,14.0,67.0,0.0,1.0,1.0,51.0,141.0,287.0,96.0,121.0,9.0,34.0,17.0,140.0,183.0,86.0,8629,2018,0.1169900495751544,0.22043010752688172,0.004629629629629539,2019
0102,1463,67.0,15.0,73.0,0.0,1.0,0.0,57.0,146.0,321.0,103.0,153.0,9.0,39.0,21.0,156.0,203.0,99.0,9382,2019,0.11636171146190213,0.21941216678058784,0.12365591397849451,2020
0102,1538,85.0,14.0,88.0,0.0,1.0,1.0,63.0,150.0,334.0,111.0,156.0,10.0,37.0,21.0,162.0,202.0,103.0,9339,2020,0.11389658770192827,0.21716514954486346,0.05126452494873557,2021
0102,1687,105.0,16.0,99.0,0.0,1.0,1.0,66.0,183.0,347.0,118.0,175.0,14.0,39.0,24.0,175.0,205.0,119.0,9827,2021,0.10997695336807956,0.20569057498518079,0.0968790637191157,2022
0102,1754,108.0,19.0,100.0,0.0,0.0,1.0,72.0,190.0,356.0,125.0,184.0,13.0,38.0,24.0,186.0,211.0,127.0,10157,2022,0.10952714044068032,0.20296465222348917,0.03971547125074104,2023
0102,1815,103.0,17.0,101.0,,,2.0,76.0,198.0,368.0,124.0,200.0,12.0,38.0,25.0,197.0,220.0,134.0,10302,2023,0.1105756285621049,0.20275482093663913,0.03477765108323827,2024
0103,285,9.0,2.0,16.0,0.0,1.0,0.0,8.0,24.0,65.0,16.0,32.0,3.0,6.0,4.0,28.0,51.0,20.0,2110,2017,0.12721452754693752,0.22807017543859648,,2018
0103,280,10.0,3.0,18.0,0.0,0.0,0.0,6.0,23.0,59.0,16.0,32.0,5.0,6.0,4.0,32.0,51.0,15.0,2165,2018,0.12354591836734695,0.21071428571428572,-0.01754385964912286,2019
0103,299,13.0,5.0,14.0,0.0,0.0,0.0,8.0,26.0,64.0,16.0,39.0,4.0,7.0,5.0,34.0,50.0,14.0,2240,2019,0.1224259236473865,0.2140468227424749,0.06785714285714284,2020
0103,308,16.0,6.0,15.0,0.0,0.0,0.0,7.0,28.0,64.0,14.0,39.0,4.0,6.0,5.0,36.0,53.0,15.0,2208,2020,0.12196407488615282,0.2077922077922078,0.030100334448160515,2021
0103,339,13.0,7.0,17.0,0.0,0.0,1.0,6.0,37.0,77.0,13.0,43.0,4.0,8.0,4.0,39.0,55.0,15.0,2272,2021,0.1281489022893988,0.22713864306784662,0.10064935064935066,2022
0103,362,18.0,8.0,17.0,0.0,0.0,1.0,7.0,39.0,79.0,15.0,48.0,2.0,9.0,4.0,38.0,55.0,22.0,2270,2022,0.12264582888190226,0.21823204419889503,0.06784660766961648,2023
0103,393,17.0,8.0,21.0,,,,8.0,41.0,87.0,15.0,54.0,3.0,9.0,4.0,45.0,55.0,26.0,2379,2023,0.12354239910909105,0.22137404580152673,0.08563535911602216,2024
0104,7692,72.0,91.0,262.0,0.0,39.0,8.0,372.0,684.0,1884.0,350.0,409.0,189.0,368.0,135.0,1277.0,960.0,592.0,77516,2017,0.1288108492618436,0.24492979719188768,,2018
0104,7694,73.0,98.0,260.0,0.0,37.0,8.0,367.0,737.0,1881.0,350.0,428.0,192.0,364.0,142.0,1265.0,934.0,558.0,76278,2018,0.12803109232267315,0.2444762152326488,0.00026001040041601087,2019
