country,country_name,primary_source,indicator,nuts_version,territorial_level,n_territories,year_min,year_max,consecutive_years,n_observations,coverage_pct_a10,sectors_available,sectors_absent,n_sectors_a10_compatible,enterprise_births_available,sector_births_available,employment_only,geometry_available,zeros_vs_missing_distinguishable,territorial_breaks_noted,kl_combined,oq_partial,phase7_n_samples,phase7_temporal_ok,phase7_territorial_ok,phase7_sector_ok,phase7_concept_ok,phase7_samples_ok,eligibility_status,blocking_reason,notes,n_samples_estimated,phase7_all_criteria_met
FI,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R,ENT_BRTH_NR,NUTS2021,NUTS3,19,2013,2021,9,1368.0,88.9,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,True,False,True,True,171,True,True,True,True,True,ELIGIBLE_WITH_MAPPING,,K_L combined: KZ (financial services) and LZ (real estate) inseparable. Phase 7 relations involving KZ or LZ individually cannot be tested.; OQ partial: P_Q in BD_HGNACE_R excludes O (public administration). OQ sector is an undercount.; Extra 10 territories appear only from 2019: excluded from stable-19 set.; Geographically outside PT-ES-FR-BE-NL corridor (Nordic).,171,True
FR,Eurostat_BD_HGNACE_R,SIDE/SIRENE (INSEE),,NUTS2021,ZE2020_functional,280,2013,2022,10,,100.0,BE; FZ; GI; JZ; KZ; LZ; MN; OQ; RU,,9,True,True,False,True,True,False,False,False,2800,True,True,True,True,True,IN_OBSERVATORY,,,2800,True
HR,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,21,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
HU,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,20,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
IE,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,9,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
IT,Italy,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,107,2010,2022,13,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,1284,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from ISTAT ASIA (Archivio Statistico delle Imprese Attive) to obtain 6+ consecutive years.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source ISTAT ASIA (Archivio Statistico delle Imprese Attive) expected at https://dati.istat.it/; Expected: 107 territories, 2010-2022",1284,True
LT,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,10,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
LU,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,1,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
LV,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,9,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
MT,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,2,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
NL,Eurostat_BD_HGNACE_R,CBS 83631NED,,NUTS2021,COROP_NUTS3,40,2007,2022,16,,100.0,BE; FZ; GI; JZ; KZ; LZ; MN; OQ; RU,,9,True,True,False,True,True,False,False,False,640,True,True,True,True,True,IN_OBSERVATORY,,,640,True
PL,Poland,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,380,2003,2023,21,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,4560,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from GUS BDL (Bank Danych Lokalnych) to obtain 6+ consecutive years.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source GUS BDL (Bank Danych Lokalnych) expected at https://bdl.stat.gov.pl/; Expected: 380 territories, 2003-2023",4560,True
PT,Eurostat_BD_HGNACE_R,INE 0009702,,NUTS2021,NUTS3,25,2008,2022,15,,88.9,BE; FZ; GI; JZ; LZ; MN; OQ; RU,,8,True,True,False,True,True,False,False,False,375,True,True,True,True,True,IN_OBSERVATORY,,,375,True
RO,Romania,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,42,2005,2023,19,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,504,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from INS TEMPO to obtain 6+ consecutive years.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source INS TEMPO expected at http://statistici.insse.ro/shop/; Expected: 42 territories, 2005-2023",504,True
SE,Sweden,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,21,2007,2023,17,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,252,True,True,True,True,True,ELIGIBLE_WITH_DOWNLOAD,Requires download from Statistics Sweden SCB to obtain 6+ consecutive years.,"BD_HGNACE_R only 2021-2023 (3 years, insufficient). National source Statistics Sweden SCB expected at https://www.statistikdatabasen.scb.se/; Expected: 21 territories, 2007-2023",252,True
SI,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,12,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
SK,Eurostat_BD_HGNACE_R,Eurostat BD_HGNACE_R (insufficient years),ENT_BRTH_NR,NUTS2021,NUTS3,9,2021,2023,3,,,BE; FZ; GI; JZ; KL_combined; MN; OQ_partial; RU_approx,,8,True,True,False,True,False,False,True,True,0,False,False,False,True,False,PARTIAL_DESCRIPTIVE_ONLY,BD_HGNACE_R provides only 2021-2023 (3 years). No known national source with sufficient coverage documented in this preflight.,,0,False
